interaction_id,ticket_id,order_id,interaction_date,customer_id,customer_name,customer_type,channel,region,state,city,pin_code,restaurant_name,cuisine_type,order_value,discount_amount,net_value,feedback_language,feedback_text,social_post_text,complaint_flag,complaint_category_manual,sentiment_manual,resolution_status,call_audio_stage_path,invoice_pdf_stage_path
1,TKT-20240001,ORD-2024100001,2024-01-27,380679,Customer_380679,CONSUMER,EMAIL,South,Tamil Nadu,Chennai,212931,Empire Restaurant,North Indian,657.06,65.71,591.35,ta,"Loved the taste and packaging, will definitely reorder.",,0,General Feedback,Positive,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100001.pdf
2,TKT-20240002,ORD-2024100002,2024-12-25,357072,Customer_357072,CONSUMER,APP,West,Maharashtra,Pune,911165,Truffles,Burgers,566.13,56.61,509.52,ml,"Order delivered, customer had a few clarifying questions.",,0,General Feedback,Neutral,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100002.pdf
3,TKT-20240003,ORD-2024100003,2024-03-05,928450,Customer_928450,CONSUMER,WHATSAPP,West,Maharashtra,Pune,701261,Healthy Greens,Salads,396.32,0.0,396.32,ta,Restaurant maintained good hygiene and quality. Customer shared overall experience and suggestions.,,1,General Feedback,Positive,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100003.pdf
4,TKT-20240004,ORD-2024100004,2024-01-07,517582,Customer_517582,RESTAURANT,TWITTER,West,Maharashtra,Pune,818103,Bombay Chaats,Street Food,804.95,120.74,684.21,ta,"Received wrong items in the order, very disappointed.","Order came cold and super late, not cool @swiggy_in",0,General Feedback,Negative,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100004.pdf
5,TKT-20240005,ORD-2024100005,2024-12-02,374608,Customer_374608,CONSUMER,WHATSAPP,East,West Bengal,Kolkata,681124,Tandoori Flames,Mughlai,213.39,32.01,181.38,bn,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100005.pdf
6,TKT-20240006,ORD-2024100006,2024-11-17,481173,Customer_481173,CONSUMER,WHATSAPP,South,Telangana,Hyderabad,525427,Bombay Chaats,Street Food,156.25,23.44,132.81,ml,"Received wrong items in the order, very disappointed.",,0,General Feedback,Negative,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100006.pdf
7,TKT-20240007,ORD-2024100007,2024-10-01,566091,Customer_566091,DELIVERY_PARTNER,EMAIL,South,Karnataka,Bengaluru,110645,Meghna Foods,Biryani,726.36,72.64,653.72,ta,Customer enquired about delivery to a new location pin code.,,0,General Feedback,Neutral,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100007.pdf
8,TKT-20240008,ORD-2024100008,2024-02-25,747584,Customer_747584,CONSUMER,TWITTER,East,West Bengal,Kolkata,841398,Truffles,Burgers,195.99,0.0,195.99,bn,"Loved the taste and packaging, will definitely reorder. Customer reported app crash during payment or tracking.","Loved the quick delivery and polite partner, thanks @swiggy_in",1,App Crash,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100008.pdf
9,TKT-20240009,ORD-2024100009,2024-01-17,887286,Customer_887286,RESTAURANT,WHATSAPP,West,Maharashtra,Pune,465289,Empire Restaurant,North Indian,278.79,41.82,236.97,en,Refund is taking too long to process after cancellation.,,0,General Feedback,Negative,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100009.pdf
10,TKT-20240010,ORD-2024100010,2024-02-10,964820,Customer_964820,RESTAURANT,APP,West,Gujarat,Ahmedabad,506017,Bombay Chaats,Street Food,357.54,35.75,321.79,te,"Received wrong items in the order, very disappointed. Packaging and restaurant cleanliness were questioned.",,1,Hygiene Issue,Negative,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100010.pdf
11,TKT-20240011,ORD-2024100011,2024-08-09,165070,Customer_165070,RESTAURANT,CALL_CENTER,North,Rajasthan,Jaipur,800917,Empire Restaurant,North Indian,492.46,73.87,418.59,ta,"Received wrong items in the order, very disappointed.",,0,General Feedback,Negative,RESOLVED,@swiggy_media_stage/calls/call_11.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100011.pdf
12,TKT-20240012,ORD-2024100012,2024-09-21,639722,Customer_639722,RESTAURANT,CALL_CENTER,East,West Bengal,Kolkata,624416,Truffles,Burgers,458.74,91.75,366.99,ta,"Loved the taste and packaging, will definitely reorder. Refund was not credited even after 3-5 working days.",,1,Refund Delay,Positive,RESOLVED,@swiggy_media_stage/calls/call_12.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100012.pdf
13,TKT-20240013,ORD-2024100013,2024-07-22,145114,Customer_145114,RESTAURANT,APP,South,Telangana,Hyderabad,629668,Pizza Palace,Pizza,136.24,27.25,108.99,hi,Restaurant maintained good hygiene and quality. Packaging and restaurant cleanliness were questioned.,,1,Hygiene Issue,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100013.pdf
14,TKT-20240014,ORD-2024100014,2024-09-30,242025,Customer_242025,DELIVERY_PARTNER,EMAIL,West,Maharashtra,Pune,914695,Empire Restaurant,North Indian,425.65,85.13,340.52,te,"Received wrong items in the order, very disappointed. Refund was not credited even after 3-5 working days.",,1,Refund Delay,Negative,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100014.pdf
15,TKT-20240015,ORD-2024100015,2024-11-03,738748,Customer_738748,DELIVERY_PARTNER,WHATSAPP,North,Uttar Pradesh,Lucknow,228257,Empire Restaurant,North Indian,554.25,55.43,498.82,ml,Delivery partner was polite and followed instructions perfectly.,,0,General Feedback,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100015.pdf
16,TKT-20240016,ORD-2024100016,2024-06-24,950877,Customer_950877,CONSUMER,CALL_CENTER,West,Maharashtra,Pune,945244,Empire Restaurant,North Indian,625.69,62.57,563.12,hi,"Food was hot and on time, very happy with the service.",,0,General Feedback,Positive,RESOLVED,@swiggy_media_stage/calls/call_16.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100016.pdf
