dealer_id,dealer_name,city,state,created_at
DEAL40001,Dealer_1,Pune,Gujarat,2023-08-16 06:16:39
DEAL40002,Dealer_2,Mumbai,Telangana,2025-04-06 22:46:00
DEAL40003,Dealer_3,Delhi,Uttar Pradesh,2023-06-19 11:15:10
DEAL40004,Dealer_4,Delhi,Maharashtra,2023-11-06 03:23:39
DEAL40005,Dealer_5,Chennai,Maharashtra,2023-02-05 12:41:24
DEAL40006,Dealer_6,Chennai,Maharashtra,2024-10-18 07:05:19
DEAL40007,Dealer_7,Nagpur,Uttar Pradesh,2023-11-08 06:15:29
DEAL40008,Dealer_8,Nagpur,Gujarat,2023-06-21 05:15:46
DEAL40009,Dealer_9,Pune,West Bengal,2025-11-11 01:02:33
DEAL40010,Dealer_10,Hyderabad,Karnataka,2024-02-12 05:52:44
DEAL40011,Dealer_11,Nagpur,Uttar Pradesh,2023-07-20 01:35:39
DEAL40012,Dealer_12,Ahmedabad,West Bengal,2023-03-21 16:01:08
DEAL40013,Dealer_13,Lucknow,Karnataka,2025-01-07 10:35:11
DEAL40014,Dealer_14,Ahmedabad,Gujarat,2023-10-08 11:22:12
DEAL40015,Dealer_15,Jaipur,Gujarat,2025-02-10 06:14:20
DEAL40016,Dealer_16,Hyderabad,Gujarat,2023-11-20 17:21:41
DEAL40017,Dealer_17,Lucknow,Maharashtra,2024-05-03 11:37:26
DEAL40018,Dealer_18,Chennai,Uttar Pradesh,2025-02-28 09:20:18
DEAL40019,Dealer_19,Bengaluru,Delhi,2025-08-21 08:35:15
DEAL40020,Dealer_20,Ahmedabad,Tamil Nadu,2025-12-24 02:18:10
DEAL40021,Dealer_21,Pune,Karnataka,2024-07-14 16:15:44
DEAL40022,Dealer_22,Hyderabad,Karnataka,2023-01-26 18:27:35
DEAL40023,Dealer_23,Chennai,Tamil Nadu,2025-02-01 10:37:19
DEAL40024,Dealer_24,Nagpur,Maharashtra,2023-05-21 00:23:19
DEAL40025,Dealer_25,Kolkata,Delhi,2023-03-22 16:03:03
DEAL40026,Dealer_26,Mumbai,Telangana,2023-06-26 22:05:09
