distributor_id,distributor_name,city,state,tier,created_at
DIST30001,Distributor_1,Surat,Tamil Nadu,C,2023-06-06 12:54:21
DIST30002,Distributor_2,Nagpur,Rajasthan,A,2024-05-22 13:44:26
DIST30003,Distributor_3,Nagpur,Gujarat,C,2023-07-22 13:01:01
DIST30004,Distributor_4,Pune,Gujarat,C,2025-04-10 04:26:23
DIST30005,Distributor_5,Delhi,Tamil Nadu,A,2024-07-31 23:00:12
DIST30006,Distributor_6,Mumbai,Rajasthan,A,2024-10-08 21:01:21
DIST30007,Distributor_7,Surat,Gujarat,A,2023-11-11 17:39:37
DIST30008,Distributor_8,Kolkata,Telangana,C,2024-05-27 23:55:14
DIST30009,Distributor_9,Lucknow,Gujarat,B,2023-09-03 18:18:31
DIST30010,Distributor_10,Kolkata,Maharashtra,C,2023-05-05 22:57:34
DIST30011,Distributor_11,Surat,Gujarat,B,2024-05-01 13:24:44
DIST30012,Distributor_12,Ahmedabad,West Bengal,A,2023-11-29 14:27:46
DIST30013,Distributor_13,Hyderabad,Gujarat,A,2025-10-01 01:33:00
DIST30014,Distributor_14,Hyderabad,West Bengal,B,2023-12-26 15:34:01
DIST30015,Distributor_15,Kolkata,West Bengal,C,2023-03-14 08:05:27
DIST30016,Distributor_16,Kolkata,Uttar Pradesh,C,2025-05-01 23:02:12
DIST30017,Distributor_17,Hyderabad,Telangana,A,2025-10-11 06:47:37
DIST30018,Distributor_18,Lucknow,Maharashtra,C,2024-07-15 17:27:13
DIST30019,Distributor_19,Bengaluru,Maharashtra,B,2025-05-07 23:00:06
DIST30020,Distributor_20,Hyderabad,Rajasthan,A,2023-08-17 20:40:54
DIST30021,Distributor_21,Delhi,Gujarat,C,2024-10-22 20:43:03
DIST30022,Distributor_22,Kolkata,West Bengal,A,2023-03-30 05:32:29
DIST30023,Distributor_23,Hyderabad,Gujarat,C,2023-03-19 17:32:38
DIST30024,Distributor_24,Lucknow,West Bengal,B,2024-12-21 16:57:01
DIST30025,Distributor_25,Pune,Maharashtra,A,2023-10-27 06:35:28
DIST30026,Distributor_26,Chennai,Maharashtra,C,2025-06-22 10:13:09
DIST30027,Distributor_27,Mumbai,Rajasthan,B,2025-01-11 09:13:52
DIST30028,Distributor_28,Ahmedabad,Maharashtra,A,2025-05-26 20:12:58
DIST30029,Distributor_29,Ahmedabad,Rajasthan,C,2024-03-03 13:30:57
DIST30030,Distributor_30,Delhi,Uttar Pradesh,B,2024-01-12 22:33:44
DIST30031,Distributor_31,Ahmedabad,Maharashtra,B,2025-01-06 01:54:51
DIST30032,Distributor_32,Ahmedabad,Telangana,A,2023-08-17 09:05:16
DIST30033,Distributor_33,Lucknow,Gujarat,B,2024-11-30 21:57:15
DIST30034,Distributor_34,Chennai,Karnataka,A,2024-07-09 06:05:37
DIST30035,Distributor_35,Jaipur,Delhi,B,2024-12-07 17:34:44
DIST30036,Distributor_36,Mumbai,Rajasthan,B,2023-03-09 19:26:37
DIST30037,Distributor_37,Chennai,Telangana,A,2024-11-05 15:36:11
DIST30038,Distributor_38,Chennai,Karnataka,B,2024-01-30 01:08:30
DIST30039,Distributor_39,Lucknow,Karnataka,C,2024-01-29 22:12:48
DIST30040,Distributor_40,Kolkata,Maharashtra,A,2025-04-20 16:07:24
DIST30041,Distributor_41,Bengaluru,West Bengal,C,2025-08-18 19:22:40
DIST30042,Distributor_42,Lucknow,Tamil Nadu,B,2023-01-07 15:07:33
DIST30043,Distributor_43,Kolkata,Karnataka,B,2025-05-08 06:07:19
DIST30044,Distributor_44,Nagpur,Uttar Pradesh,A,2023-12-16 17:48:24
DIST30045,Distributor_45,Hyderabad,Rajasthan,C,2023-05-31 11:09:48
DIST30046,Distributor_46,Nagpur,Tamil Nadu,B,2024-06-09 23:26:36
DIST30047,Distributor_47,Mumbai,Delhi,A,2025-02-12 04:26:54
DIST30048,Distributor_48,Bengaluru,Maharashtra,C,2024-01-24 04:20:02
DIST30049,Distributor_49,Surat,Telangana,A,2023-05-28 02:38:07
DIST30050,Distributor_50,Ahmedabad,West Bengal,C,2024-01-22 01:45:32
DIST30051,Distributor_51,Surat,Maharashtra,A,2023-02-05 12:42:46
DIST30052,Distributor_52,Lucknow,Karnataka,B,2024-04-02 13:36:10
DIST30053,Distributor_53,Delhi,Telangana,C,2023-08-28 19:57:31
DIST30054,Distributor_54,Pune,Delhi,A,2023-02-25 20:01:10
DIST30055,Distributor_55,Ahmedabad,Uttar Pradesh,B,2024-11-29 15:02:03
DIST30056,Distributor_56,Pune,Gujarat,A,2025-08-12 07:35:05
DIST30057,Distributor_57,Kolkata,Rajasthan,C,2024-10-11 20:02:30
DIST30058,Distributor_58,Ahmedabad,Maharashtra,C,2023-01-08 05:30:19
DIST30059,Distributor_59,Mumbai,Karnataka,A,2023-11-30 01:30:43
DIST30060,Distributor_60,Nagpur,Delhi,A,2025-01-25 07:14:15
DIST30061,Distributor_61,Delhi,Delhi,C,2025-03-19 12:26:37
DIST30062,Distributor_62,Chennai,Rajasthan,C,2024-07-18 11:26:21
DIST30063,Distributor_63,Bengaluru,Delhi,C,2024-07-16 11:07:48
DIST30064,Distributor_64,Jaipur,Telangana,A,2024-02-27 05:14:02
DIST30065,Distributor_65,Nagpur,Maharashtra,B,2024-01-20 11:46:44
DIST30066,Distributor_66,Mumbai,Tamil Nadu,B,2023-05-24 03:12:57
DIST30067,Distributor_67,Hyderabad,West Bengal,C,2024-04-29 04:02:12
DIST30068,Distributor_68,Kolkata,Maharashtra,C,2023-06-03 08:35:11
DIST30069,Distributor_69,Ahmedabad,Maharashtra,B,2025-12-17 08:36:30
DIST30070,Distributor_70,Kolkata,Uttar Pradesh,A,2025-05-28 00:01:05
DIST30071,Distributor_71,Nagpur,Karnataka,A,2025-08-14 08:07:11
DIST30072,Distributor_72,Delhi,Karnataka,A,2023-02-25 04:49:49
DIST30073,Distributor_73,Surat,Maharashtra,C,2024-07-25 07:41:27
DIST30074,Distributor_74,Bengaluru,Gujarat,B,2024-02-02 00:13:25
DIST30075,Distributor_75,Surat,Telangana,B,2023-09-30 15:19:05
DIST30076,Distributor_76,Lucknow,Telangana,A,2024-06-01 16:01:27
DIST30077,Distributor_77,Mumbai,West Bengal,B,2025-11-20 03:49:59
DIST30078,Distributor_78,Jaipur,Maharashtra,B,2024-10-12 18:35:12
DIST30079,Distributor_79,Lucknow,Gujarat,A,2023-04-07 18:55:32
DIST30080,Distributor_80,Nagpur,Tamil Nadu,A,2025-03-17 18:30:44
DIST30081,Distributor_81,Jaipur,Gujarat,A,2024-03-24 12:49:40
DIST30082,Distributor_82,Lucknow,Gujarat,A,2024-03-09 06:52:33
DIST30083,Distributor_83,Jaipur,Gujarat,B,2023-08-09 14:12:24
DIST30084,Distributor_84,Pune,Rajasthan,B,2025-02-24 12:46:59
DIST30085,Distributor_85,Bengaluru,Gujarat,B,2025-02-14 03:06:40
DIST30086,Distributor_86,Pune,Karnataka,A,2023-07-19 23:06:26
DIST30087,Distributor_87,Surat,Maharashtra,C,2024-07-07 22:04:10
DIST30088,Distributor_88,Kolkata,Telangana,B,2024-12-18 02:38:47
DIST30089,Distributor_89,Kolkata,Uttar Pradesh,A,2025-08-09 14:04:24
DIST30090,Distributor_90,Hyderabad,Uttar Pradesh,B,2023-02-19 12:29:40
DIST30091,Distributor_91,Pune,Uttar Pradesh,A,2024-02-13 13:12:26
DIST30092,Distributor_92,Hyderabad,Rajasthan,A,2024-06-16 20:27:38
DIST30093,Distributor_93,Delhi,Uttar Pradesh,C,2025-12-01 13:47:25
DIST30094,Distributor_94,Lucknow,Delhi,C,2024-01-03 17:53:54
DIST30095,Distributor_95,Nagpur,Rajasthan,B,2025-01-30 16:49:14
DIST30096,Distributor_96,Kolkata,Telangana,C,2025-09-26 04:14:12
DIST30097,Distributor_97,Delhi,Gujarat,B,2023-12-26 21:45:46
DIST30098,Distributor_98,Jaipur,Maharashtra,C,2024-06-04 09:30:17
DIST30099,Distributor_99,Lucknow,Maharashtra,C,2024-03-12 16:43:42
DIST30100,Distributor_100,Delhi,Uttar Pradesh,B,2024-07-17 10:57:37
DIST30101,Distributor_101,Hyderabad,Tamil Nadu,B,2025-06-12 10:53:28
DIST30102,Distributor_102,Hyderabad,Delhi,C,2023-03-15 19:20:35
DIST30103,Distributor_103,Delhi,Gujarat,C,2025-04-06 15:43:28
DIST30104,Distributor_104,Ahmedabad,Maharashtra,C,2025-11-08 17:18:36
DIST30105,Distributor_105,Hyderabad,Delhi,A,2025-11-03 02:07:08
DIST30106,Distributor_106,Jaipur,Maharashtra,C,2023-07-17 07:35:50
DIST30107,Distributor_107,Mumbai,West Bengal,B,2025-11-01 21:58:04
DIST30108,Distributor_108,Hyderabad,Karnataka,A,2025-06-15 11:20:36
DIST30109,Distributor_109,Hyderabad,Maharashtra,C,2024-12-18 20:45:11
DIST30110,Distributor_110,Lucknow,Gujarat,A,2023-10-18 17:59:27
DIST30111,Distributor_111,Kolkata,Maharashtra,C,2025-11-01 02:01:13
DIST30112,Distributor_112,Nagpur,Maharashtra,C,2025-05-03 13:01:40
DIST30113,Distributor_113,Chennai,Uttar Pradesh,C,2025-04-27 20:08:14
DIST30114,Distributor_114,Pune,Gujarat,B,2023-05-23 02:00:20
DIST30115,Distributor_115,Lucknow,Delhi,A,2023-12-30 12:49:48
DIST30116,Distributor_116,Lucknow,Karnataka,B,2024-02-06 07:58:56
DIST30117,Distributor_117,Bengaluru,Gujarat,C,2024-11-09 05:35:55
DIST30118,Distributor_118,Mumbai,West Bengal,A,2023-12-23 00:16:51
DIST30119,Distributor_119,Nagpur,Uttar Pradesh,C,2025-11-22 19:30:09
DIST30120,Distributor_120,Surat,Uttar Pradesh,C,2023-07-01 21:12:46
DIST30121,Distributor_121,Kolkata,Tamil Nadu,B,2025-03-28 22:46:25
DIST30122,Distributor_122,Mumbai,Uttar Pradesh,B,2024-02-07 17:16:13
DIST30123,Distributor_123,Pune,Maharashtra,A,2024-05-25 21:25:29
DIST30124,Distributor_124,Ahmedabad,Maharashtra,C,2025-03-16 05:38:24
