product_id,location_id,location_type,quantity,last_updated
PROD201682,LOC1465,Distributor,866,2025-10-20 18:33:47
PROD201843,LOC2407,Warehouse,349,2025-04-01 09:16:31
PROD203921,LOC2580,Distributor,340,2024-07-30 23:17:35
PROD202170,LOC2448,Distributor,879,2024-06-17 00:34:08
PROD203107,LOC2285,Warehouse,659,2023-05-07 16:24:36
PROD200955,LOC1634,Distributor,684,2024-03-23 08:51:51
PROD203351,LOC2735,Warehouse,972,2024-09-18 17:10:25
PROD203377,LOC1373,Distributor,111,2024-03-24 16:17:16
PROD203873,LOC2029,Warehouse,540,2025-05-24 13:23:03
PROD200432,LOC2571,Distributor,881,2025-09-25 18:14:44
PROD204208,LOC2320,Store,483,2025-08-08 00:32:31
PROD203614,LOC2024,Store,539,2023-05-12 03:14:32
PROD200521,LOC1621,Distributor,685,2024-09-15 15:47:12
PROD200614,LOC2045,Store,835,2023-05-21 17:50:58
PROD202633,LOC2239,Store,349,2025-08-23 12:38:15
PROD202274,LOC1923,Warehouse,276,2024-05-05 09:15:48
PROD200535,LOC1817,Distributor,235,2025-10-23 18:21:01
PROD202899,LOC1191,Warehouse,656,2024-01-21 23:08:16
PROD202043,LOC1232,Store,451,2023-01-11 10:56:56
PROD201086,LOC1027,Distributor,995,2023-11-21 01:32:55
PROD202505,LOC1540,Store,861,2023-04-19 15:56:10
PROD203345,LOC2133,Store,148,2023-12-04 18:39:10
PROD200252,LOC1378,Store,344,2025-01-24 03:17:54
PROD201651,LOC1777,Distributor,114,2025-05-19 23:30:36
PROD201928,LOC2585,Warehouse,251,2023-02-18 02:38:11
PROD201683,LOC2448,Distributor,464,2025-01-20 18:34:06
PROD204542,LOC1670,Warehouse,627,2024-11-17 16:57:06
PROD201402,LOC1965,Distributor,990,2023-02-01 14:05:53
PROD204330,LOC2413,Store,260,2023-08-26 08:19:10
PROD202111,LOC2114,Distributor,239,2025-05-28 07:53:04
PROD200863,LOC1381,Distributor,88,2024-05-30 19:19:07
PROD204034,LOC2731,Distributor,5,2023-06-11 15:45:09
PROD202148,LOC1984,Store,211,2023-09-20 06:36:35
PROD203514,LOC1288,Warehouse,650,2023-12-13 08:52:13
PROD200063,LOC1144,Store,635,2024-03-01 20:58:25
PROD201640,LOC1541,Distributor,636,2025-08-11 23:43:12
PROD202780,LOC1231,Warehouse,0,2025-03-13 07:15:09
PROD201723,LOC2031,Distributor,562,2025-03-27 14:28:41
PROD201081,LOC1348,Store,926,2025-05-31 11:23:46
PROD200134,LOC1573,Warehouse,151,2024-12-19 18:01:54
PROD203766,LOC2527,Warehouse,920,2024-09-09 06:03:36
PROD201418,LOC1412,Store,974,2025-09-10 01:37:21
PROD200532,LOC2594,Warehouse,864,2025-07-01 23:48:10
PROD200351,LOC1323,Store,447,2024-09-08 18:38:32
PROD202817,LOC1872,Store,552,2025-02-11 21:43:16
PROD200049,LOC1340,Warehouse,623,2025-08-18 04:05:47
PROD204593,LOC1751,Distributor,647,2023-08-23 01:22:45
PROD200001,LOC1881,Distributor,462,2024-03-15 17:22:53
