shop_id,shop_name,owner_name,city,state,created_at
LSHOP70001,LocalShop_1,Owner_1,Surat,Maharashtra,2023-02-26 12:32:28
LSHOP70002,LocalShop_2,Owner_2,Bengaluru,Maharashtra,2024-07-20 21:54:34
LSHOP70003,LocalShop_3,Owner_3,Pune,Delhi,2023-05-20 22:14:29
LSHOP70004,LocalShop_4,Owner_4,Nagpur,West Bengal,2023-11-07 11:02:48
LSHOP70005,LocalShop_5,Owner_5,Hyderabad,Delhi,2025-07-29 16:07:17
LSHOP70006,LocalShop_6,Owner_6,Lucknow,Karnataka,2025-06-18 14:25:49
LSHOP70007,LocalShop_7,Owner_7,Kolkata,Rajasthan,2023-09-10 18:32:26
LSHOP70008,LocalShop_8,Owner_8,Kolkata,Karnataka,2024-07-17 08:43:34
LSHOP70009,LocalShop_9,Owner_9,Kolkata,Maharashtra,2024-03-22 15:34:43
LSHOP70010,LocalShop_10,Owner_10,Lucknow,Telangana,2024-03-21 11:33:50
LSHOP70011,LocalShop_11,Owner_11,Pune,Maharashtra,2025-05-19 13:31:55
LSHOP70012,LocalShop_12,Owner_12,Bengaluru,West Bengal,2025-06-22 15:43:39
LSHOP70013,LocalShop_13,Owner_13,Pune,Maharashtra,2024-10-20 11:35:21
LSHOP70014,LocalShop_14,Owner_14,Mumbai,Telangana,2023-09-01 21:20:44
LSHOP70015,LocalShop_15,Owner_15,Chennai,Delhi,2023-10-17 04:19:29
LSHOP70016,LocalShop_16,Owner_16,Kolkata,Telangana,2025-04-09 19:40:15
LSHOP70017,LocalShop_17,Owner_17,Hyderabad,Gujarat,2025-06-29 02:01:46
LSHOP70018,LocalShop_18,Owner_18,Chennai,Maharashtra,2024-10-31 01:56:50
LSHOP70019,LocalShop_19,Owner_19,Hyderabad,Gujarat,2024-11-01 14:02:08
LSHOP70020,LocalShop_20,Owner_20,Ahmedabad,Maharashtra,2025-11-11 05:02:12
LSHOP70021,LocalShop_21,Owner_21,Nagpur,Karnataka,2024-09-22 07:44:07
LSHOP70022,LocalShop_22,Owner_22,Nagpur,Maharashtra,2023-10-17 23:01:16
LSHOP70023,LocalShop_23,Owner_23,Nagpur,Gujarat,2025-10-10 20:04:10
LSHOP70024,LocalShop_24,Owner_24,Lucknow,West Bengal,2025-03-01 14:10:37
LSHOP70025,LocalShop_25,Owner_25,Surat,Karnataka,2024-07-10 04:15:33
LSHOP70026,LocalShop_26,Owner_26,Mumbai,Delhi,2024-02-21 21:25:26
LSHOP70027,LocalShop_27,Owner_27,Hyderabad,Rajasthan,2025-09-26 18:32:40
LSHOP70028,LocalShop_28,Owner_28,Delhi,Tamil Nadu,2025-07-31 14:43:59
LSHOP70029,LocalShop_29,Owner_29,Bengaluru,Tamil Nadu,2024-01-16 23:21:54
LSHOP70030,LocalShop_30,Owner_30,Bengaluru,Maharashtra,2023-03-05 02:39:29
LSHOP70031,LocalShop_31,Owner_31,Lucknow,Tamil Nadu,2025-01-17 04:34:42
LSHOP70032,LocalShop_32,Owner_32,Nagpur,Maharashtra,2024-06-12 19:06:41
LSHOP70033,LocalShop_33,Owner_33,Hyderabad,Delhi,2024-10-26 22:06:11
LSHOP70034,LocalShop_34,Owner_34,Chennai,Maharashtra,2024-05-11 22:24:55
LSHOP70035,LocalShop_35,Owner_35,Ahmedabad,Uttar Pradesh,2024-11-08 19:36:56
LSHOP70036,LocalShop_36,Owner_36,Jaipur,Gujarat,2024-09-08 00:58:27
LSHOP70037,LocalShop_37,Owner_37,Lucknow,Gujarat,2024-07-29 01:22:55
LSHOP70038,LocalShop_38,Owner_38,Bengaluru,Telangana,2023-02-03 16:29:08
LSHOP70039,LocalShop_39,Owner_39,Kolkata,Maharashtra,2024-06-09 03:11:46
LSHOP70040,LocalShop_40,Owner_40,Bengaluru,Maharashtra,2023-11-26 09:21:29
LSHOP70041,LocalShop_41,Owner_41,Lucknow,Tamil Nadu,2023-09-06 06:57:33
LSHOP70042,LocalShop_42,Owner_42,Surat,Gujarat,2024-05-19 16:35:59
LSHOP70043,LocalShop_43,Owner_43,Surat,Tamil Nadu,2024-08-26 19:01:12
LSHOP70044,LocalShop_44,Owner_44,Pune,West Bengal,2025-01-01 11:26:50
LSHOP70045,LocalShop_45,Owner_45,Kolkata,Maharashtra,2025-10-03 05:33:33
LSHOP70046,LocalShop_46,Owner_46,Pune,Gujarat,2024-01-09 21:52:11
LSHOP70047,LocalShop_47,Owner_47,Kolkata,Maharashtra,2023-04-25 09:14:45
LSHOP70048,LocalShop_48,Owner_48,Ahmedabad,Maharashtra,2024-09-26 11:21:35
LSHOP70049,LocalShop_49,Owner_49,Kolkata,Karnataka,2023-08-02 13:32:45
LSHOP70050,LocalShop_50,Owner_50,Surat,Maharashtra,2024-01-16 15:05:50
LSHOP70051,LocalShop_51,Owner_51,Delhi,Karnataka,2025-04-13 05:40:11
LSHOP70052,LocalShop_52,Owner_52,Mumbai,Maharashtra,2023-01-14 11:43:28
LSHOP70053,LocalShop_53,Owner_53,Mumbai,Rajasthan,2024-06-28 04:12:18
LSHOP70054,LocalShop_54,Owner_54,Chennai,Maharashtra,2025-09-25 20:26:15
LSHOP70055,LocalShop_55,Owner_55,Mumbai,West Bengal,2024-10-02 16:50:15
LSHOP70056,LocalShop_56,Owner_56,Nagpur,Rajasthan,2023-09-22 17:06:47
LSHOP70057,LocalShop_57,Owner_57,Surat,Telangana,2025-10-19 03:33:27
LSHOP70058,LocalShop_58,Owner_58,Hyderabad,Gujarat,2023-09-21 04:52:27
LSHOP70059,LocalShop_59,Owner_59,Nagpur,Uttar Pradesh,2023-04-15 12:21:37
LSHOP70060,LocalShop_60,Owner_60,Hyderabad,Uttar Pradesh,2025-01-27 22:51:06
LSHOP70061,LocalShop_61,Owner_61,Kolkata,Tamil Nadu,2025-03-21 13:18:23
LSHOP70062,LocalShop_62,Owner_62,Ahmedabad,Uttar Pradesh,2024-09-25 20:34:10
LSHOP70063,LocalShop_63,Owner_63,Bengaluru,West Bengal,2023-08-22 15:05:03
LSHOP70064,LocalShop_64,Owner_64,Kolkata,Rajasthan,2023-09-06 21:28:48
LSHOP70065,LocalShop_65,Owner_65,Surat,Karnataka,2023-01-08 09:27:11
LSHOP70066,LocalShop_66,Owner_66,Delhi,Telangana,2024-05-07 15:41:26
LSHOP70067,LocalShop_67,Owner_67,Lucknow,Gujarat,2025-03-26 00:41:52
LSHOP70068,LocalShop_68,Owner_68,Kolkata,Telangana,2024-07-27 10:22:17
LSHOP70069,LocalShop_69,Owner_69,Delhi,Maharashtra,2025-08-30 23:20:48
LSHOP70070,LocalShop_70,Owner_70,Surat,Rajasthan,2024-03-16 08:41:31
LSHOP70071,LocalShop_71,Owner_71,Ahmedabad,Karnataka,2024-06-15 14:17:24
LSHOP70072,LocalShop_72,Owner_72,Jaipur,Tamil Nadu,2023-06-07 20:09:04
LSHOP70073,LocalShop_73,Owner_73,Mumbai,Delhi,2024-12-10 15:25:21
LSHOP70074,LocalShop_74,Owner_74,Mumbai,Delhi,2024-04-24 12:41:27
LSHOP70075,LocalShop_75,Owner_75,Nagpur,Karnataka,2023-10-22 03:28:03
LSHOP70076,LocalShop_76,Owner_76,Surat,West Bengal,2024-01-07 10:42:20
LSHOP70077,LocalShop_77,Owner_77,Delhi,Maharashtra,2025-03-29 10:12:21
LSHOP70078,LocalShop_78,Owner_78,Chennai,Telangana,2023-03-31 20:57:37
LSHOP70079,LocalShop_79,Owner_79,Chennai,West Bengal,2024-02-22 02:36:24
LSHOP70080,LocalShop_80,Owner_80,Nagpur,Telangana,2024-01-06 23:15:40
LSHOP70081,LocalShop_81,Owner_81,Ahmedabad,Telangana,2025-11-20 04:39:19
LSHOP70082,LocalShop_82,Owner_82,Hyderabad,Gujarat,2023-09-16 04:23:46
LSHOP70083,LocalShop_83,Owner_83,Pune,Karnataka,2025-04-18 05:05:51
LSHOP70084,LocalShop_84,Owner_84,Jaipur,Delhi,2025-10-31 01:23:17
LSHOP70085,LocalShop_85,Owner_85,Ahmedabad,Karnataka,2023-05-30 06:27:47
LSHOP70086,LocalShop_86,Owner_86,Mumbai,Tamil Nadu,2024-12-25 00:01:00
LSHOP70087,LocalShop_87,Owner_87,Jaipur,Telangana,2024-04-25 21:56:10
LSHOP70088,LocalShop_88,Owner_88,Bengaluru,West Bengal,2025-09-09 00:42:02
LSHOP70089,LocalShop_89,Owner_89,Surat,Rajasthan,2024-01-12 23:10:36
LSHOP70090,LocalShop_90,Owner_90,Lucknow,Gujarat,2025-07-28 10:46:37
LSHOP70091,LocalShop_91,Owner_91,Hyderabad,Maharashtra,2024-03-05 13:13:52
LSHOP70092,LocalShop_92,Owner_92,Chennai,Rajasthan,2025-09-07 03:17:39
LSHOP70093,LocalShop_93,Owner_93,Nagpur,Maharashtra,2025-06-11 11:16:40
LSHOP70094,LocalShop_94,Owner_94,Surat,West Bengal,2023-01-19 06:19:54
LSHOP70095,LocalShop_95,Owner_95,Ahmedabad,Maharashtra,2024-01-05 13:05:16
LSHOP70096,LocalShop_96,Owner_96,Lucknow,Maharashtra,2023-10-10 06:02:39
LSHOP70097,LocalShop_97,Owner_97,Jaipur,West Bengal,2025-08-25 00:50:05
LSHOP70098,LocalShop_98,Owner_98,Mumbai,Gujarat,2023-08-11 07:10:24
LSHOP70099,LocalShop_99,Owner_99,Pune,Gujarat,2023-06-25 15:48:28
LSHOP70100,LocalShop_100,Owner_100,Lucknow,Gujarat,2024-06-21 17:10:49
LSHOP70101,LocalShop_101,Owner_101,Jaipur,West Bengal,2025-02-07 12:49:01
LSHOP70102,LocalShop_102,Owner_102,Ahmedabad,Gujarat,2024-10-19 17:15:18
LSHOP70103,LocalShop_103,Owner_103,Ahmedabad,Maharashtra,2024-05-16 17:35:22
LSHOP70104,LocalShop_104,Owner_104,Kolkata,West Bengal,2023-06-09 08:55:55
LSHOP70105,LocalShop_105,Owner_105,Surat,Tamil Nadu,2023-03-08 14:04:08
LSHOP70106,LocalShop_106,Owner_106,Mumbai,Rajasthan,2024-05-31 09:13:16
LSHOP70107,LocalShop_107,Owner_107,Ahmedabad,Maharashtra,2024-04-08 11:10:48
LSHOP70108,LocalShop_108,Owner_108,Surat,Maharashtra,2025-11-17 02:33:51
LSHOP70109,LocalShop_109,Owner_109,Surat,Maharashtra,2024-03-12 21:31:05
LSHOP70110,LocalShop_110,Owner_110,Kolkata,Telangana,2025-01-01 12:58:42
LSHOP70111,LocalShop_111,Owner_111,Jaipur,Karnataka,2023-12-19 10:19:58
LSHOP70112,LocalShop_112,Owner_112,Hyderabad,Maharashtra,2024-02-22 13:14:09
LSHOP70113,LocalShop_113,Owner_113,Delhi,Delhi,2023-10-21 13:20:55
LSHOP70114,LocalShop_114,Owner_114,Pune,Telangana,2025-07-30 15:04:15
LSHOP70115,LocalShop_115,Owner_115,Ahmedabad,Telangana,2023-11-11 09:23:22
LSHOP70116,LocalShop_116,Owner_116,Ahmedabad,Tamil Nadu,2025-01-06 05:36:18
LSHOP70117,LocalShop_117,Owner_117,Chennai,Uttar Pradesh,2025-08-11 01:43:18
LSHOP70118,LocalShop_118,Owner_118,Lucknow,Maharashtra,2023-12-08 13:58:31
LSHOP70119,LocalShop_119,Owner_119,Pune,Maharashtra,2024-06-19 12:53:09
LSHOP70120,LocalShop_120,Owner_120,Surat,Maharashtra,2025-08-23 13:50:43
LSHOP70121,LocalShop_121,Owner_121,Pune,West Bengal,2025-10-13 19:59:04
LSHOP70122,LocalShop_122,Owner_122,Kolkata,Gujarat,2024-09-20 14:19:26
LSHOP70123,LocalShop_123,Owner_123,Mumbai,Tamil Nadu,2023-07-21 23:20:32
LSHOP70124,LocalShop_124,Owner_124,Mumbai,West Bengal,2024-04-24 04:07:42
LSHOP70125,LocalShop_125,Owner_125,Chennai,Maharashtra,2024-03-16 19:27:04
LSHOP70126,LocalShop_126,Owner_126,Chennai,Tamil Nadu,2023-04-01 05:59:11
LSHOP70127,LocalShop_127,Owner_127,Pune,Tamil Nadu,2025-12-10 06:54:48
LSHOP70128,LocalShop_128,Owner_128,Ahmedabad,Uttar Pradesh,2023-08-13 19:04:41
LSHOP70129,LocalShop_129,Owner_129,Bengaluru,Maharashtra,2023-01-27 08:10:37
LSHOP70130,LocalShop_130,Owner_130,Bengaluru,Maharashtra,2025-05-14 02:03:31
LSHOP70131,LocalShop_131,Owner_131,Bengaluru,Karnataka,2023-04-30 17:16:02
LSHOP70132,LocalShop_132,Owner_132,Pune,Karnataka,2024-12-18 10:38:51
LSHOP70133,LocalShop_133,Owner_133,Mumbai,Delhi,2023-01-28 19:37:55
LSHOP70134,LocalShop_134,Owner_134,Jaipur,Delhi,2024-07-30 00:04:11
LSHOP70135,LocalShop_135,Owner_135,Pune,Rajasthan,2024-11-02 07:47:18
LSHOP70136,LocalShop_136,Owner_136,Ahmedabad,Delhi,2024-04-12 02:30:26
LSHOP70137,LocalShop_137,Owner_137,Mumbai,Delhi,2024-04-29 20:00:57
LSHOP70138,LocalShop_138,Owner_138,Hyderabad,West Bengal,2023-03-04 18:08:53
LSHOP70139,LocalShop_139,Owner_139,Kolkata,Maharashtra,2023-09-09 23:16:42
LSHOP70140,LocalShop_140,Owner_140,Nagpur,Gujarat,2023-07-02 10:10:48
LSHOP70141,LocalShop_141,Owner_141,Mumbai,Tamil Nadu,2024-02-18 11:36:40
LSHOP70142,LocalShop_142,Owner_142,Delhi,Uttar Pradesh,2023-09-09 15:18:30
LSHOP70143,LocalShop_143,Owner_143,Jaipur,Maharashtra,2023-01-19 10:35:48
LSHOP70144,LocalShop_144,Owner_144,Surat,Maharashtra,2023-05-31 07:28:19
LSHOP70145,LocalShop_145,Owner_145,Mumbai,Tamil Nadu,2025-04-20 00:22:55
LSHOP70146,LocalShop_146,Owner_146,Delhi,Tamil Nadu,2025-12-02 06:23:54
LSHOP70147,LocalShop_147,Owner_147,Nagpur,Tamil Nadu,2024-08-27 20:50:06
LSHOP70148,LocalShop_148,Owner_148,Nagpur,Rajasthan,2024-05-18 14:51:39
LSHOP70149,LocalShop_149,Owner_149,Delhi,Tamil Nadu,2023-05-27 06:03:47
LSHOP70150,LocalShop_150,Owner_150,Jaipur,West Bengal,2023-09-26 04:37:44
LSHOP70151,LocalShop_151,Owner_151,Lucknow,Maharashtra,2025-11-14 17:10:32
LSHOP70152,LocalShop_152,Owner_152,Ahmedabad,Gujarat,2023-09-01 19:45:42
LSHOP70153,LocalShop_153,Owner_153,Jaipur,Uttar Pradesh,2025-06-25 02:23:27
LSHOP70154,LocalShop_154,Owner_154,Delhi,Gujarat,2023-06-08 03:57:28
LSHOP70155,LocalShop_155,Owner_155,Ahmedabad,Gujarat,2024-02-13 07:47:45
LSHOP70156,LocalShop_156,Owner_156,Bengaluru,Gujarat,2023-01-06 04:18:47
LSHOP70157,LocalShop_157,Owner_157,Ahmedabad,Karnataka,2024-06-24 10:02:09
LSHOP70158,LocalShop_158,Owner_158,Delhi,Telangana,2025-09-25 04:03:23
LSHOP70159,LocalShop_159,Owner_159,Surat,Telangana,2024-09-24 22:03:24
LSHOP70160,LocalShop_160,Owner_160,Lucknow,Uttar Pradesh,2025-03-08 08:25:56
LSHOP70161,LocalShop_161,Owner_161,Lucknow,Telangana,2023-04-02 22:17:22
LSHOP70162,LocalShop_162,Owner_162,Jaipur,Tamil Nadu,2024-09-27 16:07:45
LSHOP70163,LocalShop_163,Owner_163,Lucknow,Gujarat,2023-03-01 11:25:07
LSHOP70164,LocalShop_164,Owner_164,Kolkata,Karnataka,2024-10-10 19:02:27
LSHOP70165,LocalShop_165,Owner_165,Kolkata,West Bengal,2024-09-16 03:09:49
LSHOP70166,LocalShop_166,Owner_166,Surat,Maharashtra,2025-09-03 08:30:41
LSHOP70167,LocalShop_167,Owner_167,Jaipur,Gujarat,2025-06-10 22:10:37
LSHOP70168,LocalShop_168,Owner_168,Jaipur,Rajasthan,2025-01-05 10:47:45
LSHOP70169,LocalShop_169,Owner_169,Kolkata,Telangana,2024-09-20 16:41:36
LSHOP70170,LocalShop_170,Owner_170,Bengaluru,Telangana,2025-01-18 18:52:31
LSHOP70171,LocalShop_171,Owner_171,Kolkata,Gujarat,2023-08-22 07:34:41
LSHOP70172,LocalShop_172,Owner_172,Pune,West Bengal,2023-02-17 00:03:57
LSHOP70173,LocalShop_173,Owner_173,Ahmedabad,Delhi,2023-12-14 00:14:40
LSHOP70174,LocalShop_174,Owner_174,Jaipur,West Bengal,2023-11-10 22:57:48
LSHOP70175,LocalShop_175,Owner_175,Mumbai,Maharashtra,2023-04-07 03:33:32
LSHOP70176,LocalShop_176,Owner_176,Bengaluru,Telangana,2024-01-08 10:45:39
LSHOP70177,LocalShop_177,Owner_177,Delhi,Delhi,2025-12-05 06:58:48
LSHOP70178,LocalShop_178,Owner_178,Nagpur,Telangana,2025-04-09 19:32:35
LSHOP70179,LocalShop_179,Owner_179,Hyderabad,Uttar Pradesh,2023-01-04 12:47:55
LSHOP70180,LocalShop_180,Owner_180,Mumbai,Uttar Pradesh,2023-07-12 13:31:02
LSHOP70181,LocalShop_181,Owner_181,Mumbai,Gujarat,2023-03-28 15:44:04
LSHOP70182,LocalShop_182,Owner_182,Bengaluru,Rajasthan,2023-10-18 08:16:47
LSHOP70183,LocalShop_183,Owner_183,Pune,Gujarat,2023-06-22 19:00:54
LSHOP70184,LocalShop_184,Owner_184,Kolkata,Maharashtra,2024-01-22 03:38:51
LSHOP70185,LocalShop_185,Owner_185,Nagpur,Gujarat,2024-04-20 00:24:07
LSHOP70186,LocalShop_186,Owner_186,Nagpur,Rajasthan,2025-10-06 05:07:30
LSHOP70187,LocalShop_187,Owner_187,Lucknow,Delhi,2025-02-11 19:22:16
LSHOP70188,LocalShop_188,Owner_188,Jaipur,Maharashtra,2025-12-13 01:11:08
LSHOP70189,LocalShop_189,Owner_189,Pune,Uttar Pradesh,2024-06-13 01:00:47
LSHOP70190,LocalShop_190,Owner_190,Chennai,Telangana,2025-01-28 13:01:02
LSHOP70191,LocalShop_191,Owner_191,Mumbai,West Bengal,2023-12-26 03:06:05
LSHOP70192,LocalShop_192,Owner_192,Nagpur,Delhi,2024-05-20 18:51:42
LSHOP70193,LocalShop_193,Owner_193,Bengaluru,Delhi,2023-01-14 03:56:34
LSHOP70194,LocalShop_194,Owner_194,Mumbai,Delhi,2023-10-14 07:37:01
LSHOP70195,LocalShop_195,Owner_195,Lucknow,Maharashtra,2025-02-05 19:40:32
LSHOP70196,LocalShop_196,Owner_196,Lucknow,Delhi,2024-01-16 13:25:12
LSHOP70197,LocalShop_197,Owner_197,Lucknow,West Bengal,2024-07-31 09:31:43
LSHOP70198,LocalShop_198,Owner_198,Mumbai,Maharashtra,2023-02-20 15:02:48
LSHOP70199,LocalShop_199,Owner_199,Hyderabad,Maharashtra,2024-08-29 03:26:02
LSHOP70200,LocalShop_200,Owner_200,Chennai,Delhi,2025-02-20 20:47:56
LSHOP70201,LocalShop_201,Owner_201,Jaipur,Karnataka,2025-04-03 18:10:04
LSHOP70202,LocalShop_202,Owner_202,Nagpur,Maharashtra,2023-10-13 02:32:26
LSHOP70203,LocalShop_203,Owner_203,Kolkata,Gujarat,2023-06-21 12:56:03
LSHOP70204,LocalShop_204,Owner_204,Hyderabad,Tamil Nadu,2024-02-22 20:15:27
LSHOP70205,LocalShop_205,Owner_205,Lucknow,Maharashtra,2025-12-22 14:07:46
LSHOP70206,LocalShop_206,Owner_206,Lucknow,West Bengal,2025-10-13 03:13:47
LSHOP70207,LocalShop_207,Owner_207,Surat,Maharashtra,2025-06-27 14:43:20
LSHOP70208,LocalShop_208,Owner_208,Pune,West Bengal,2023-06-06 14:10:13
LSHOP70209,LocalShop_209,Owner_209,Hyderabad,Maharashtra,2023-08-21 21:20:25
LSHOP70210,LocalShop_210,Owner_210,Lucknow,Uttar Pradesh,2024-12-17 18:47:59
LSHOP70211,LocalShop_211,Owner_211,Chennai,Gujarat,2025-07-01 06:52:52
LSHOP70212,LocalShop_212,Owner_212,Bengaluru,Maharashtra,2024-08-25 11:54:24
LSHOP70213,LocalShop_213,Owner_213,Hyderabad,Gujarat,2024-04-21 17:27:35
LSHOP70214,LocalShop_214,Owner_214,Jaipur,Uttar Pradesh,2023-11-22 06:48:18
LSHOP70215,LocalShop_215,Owner_215,Hyderabad,Rajasthan,2023-06-21 14:50:01
LSHOP70216,LocalShop_216,Owner_216,Delhi,Karnataka,2025-08-31 14:28:44
LSHOP70217,LocalShop_217,Owner_217,Bengaluru,Delhi,2025-05-17 11:45:26
LSHOP70218,LocalShop_218,Owner_218,Pune,Maharashtra,2023-11-23 13:01:50
LSHOP70219,LocalShop_219,Owner_219,Pune,Gujarat,2023-01-09 10:11:26
LSHOP70220,LocalShop_220,Owner_220,Kolkata,Maharashtra,2023-09-30 23:05:33
LSHOP70221,LocalShop_221,Owner_221,Jaipur,Gujarat,2024-07-19 19:38:12
LSHOP70222,LocalShop_222,Owner_222,Chennai,Maharashtra,2025-05-07 09:59:32
LSHOP70223,LocalShop_223,Owner_223,Bengaluru,Maharashtra,2025-07-26 23:01:43
LSHOP70224,LocalShop_224,Owner_224,Nagpur,Telangana,2024-07-02 03:04:56
LSHOP70225,LocalShop_225,Owner_225,Delhi,Rajasthan,2024-08-10 23:20:28
LSHOP70226,LocalShop_226,Owner_226,Kolkata,Delhi,2025-08-04 15:44:35
LSHOP70227,LocalShop_227,Owner_227,Mumbai,Karnataka,2023-05-16 21:04:38
LSHOP70228,LocalShop_228,Owner_228,Mumbai,Tamil Nadu,2023-09-01 03:11:46
LSHOP70229,LocalShop_229,Owner_229,Pune,Maharashtra,2023-12-22 07:53:33
LSHOP70230,LocalShop_230,Owner_230,Ahmedabad,West Bengal,2024-08-28 17:29:35
LSHOP70231,LocalShop_231,Owner_231,Bengaluru,Gujarat,2024-05-28 23:52:17
LSHOP70232,LocalShop_232,Owner_232,Delhi,Karnataka,2023-05-25 01:43:01
LSHOP70233,LocalShop_233,Owner_233,Bengaluru,West Bengal,2024-12-11 10:21:26
LSHOP70234,LocalShop_234,Owner_234,Jaipur,Telangana,2024-09-27 16:20:19
LSHOP70235,LocalShop_235,Owner_235,Pune,Maharashtra,2025-11-05 18:20:01
LSHOP70236,LocalShop_236,Owner_236,Hyderabad,West Bengal,2023-05-07 03:30:59
LSHOP70237,LocalShop_237,Owner_237,Nagpur,Telangana,2025-03-03 07:19:21
LSHOP70238,LocalShop_238,Owner_238,Delhi,Maharashtra,2025-10-23 07:43:46
LSHOP70239,LocalShop_239,Owner_239,Delhi,Rajasthan,2025-03-08 09:37:22
LSHOP70240,LocalShop_240,Owner_240,Pune,Telangana,2024-06-19 05:01:57
LSHOP70241,LocalShop_241,Owner_241,Hyderabad,Gujarat,2024-10-09 14:43:46
LSHOP70242,LocalShop_242,Owner_242,Bengaluru,Gujarat,2023-03-21 21:08:04
LSHOP70243,LocalShop_243,Owner_243,Jaipur,Uttar Pradesh,2024-12-31 03:09:52
LSHOP70244,LocalShop_244,Owner_244,Pune,Uttar Pradesh,2025-02-27 21:22:23
LSHOP70245,LocalShop_245,Owner_245,Ahmedabad,West Bengal,2025-02-07 22:09:42
