product_id,sku,product_name,brand,category,sub_category,unit_price,uom,pack_size,created_at
PROD200001,SKU300001,Paint_1,Nerolac,Emulsion,Metal,1882.53,Liter,20L,2023-07-14 18:35:12
PROD200002,SKU300002,Paint_2,Dulux,Industrial,Wood,794.56,Liter,10L,2023-08-18 15:06:44
PROD200003,SKU300003,Paint_3,Shalimar,Emulsion,Wood,1244.22,Liter,10L,2025-10-06 08:47:47
PROD200004,SKU300004,Paint_4,Shalimar,Primer,Exterior,2413.65,Liter,10L,2023-10-05 08:21:42
PROD200005,SKU300005,Paint_5,Nerolac,Industrial,Metal,2040.99,Liter,4L,2024-08-06 22:21:37
PROD200006,SKU300006,Paint_6,Shalimar,Texture,Interior,1537.68,Liter,1L,2023-10-01 15:37:15
PROD200007,SKU300007,Paint_7,AsianPaints,Industrial,Interior,899.19,Liter,4L,2023-12-13 07:46:32
PROD200008,SKU300008,Paint_8,Nerolac,Emulsion,Wood,499.22,Liter,10L,2025-12-19 17:06:54
PROD200009,SKU300009,Paint_9,AsianPaints,Industrial,Metal,1310.25,Liter,10L,2023-07-08 07:45:53
PROD200010,SKU300010,Paint_10,Berger,Industrial,Interior,1852.69,Liter,10L,2025-05-25 15:25:07
PROD200011,SKU300011,Paint_11,AsianPaints,Texture,Wood,1063.52,Liter,10L,2024-08-27 14:14:43
PROD200012,SKU300012,Paint_12,Shalimar,Primer,Exterior,1730.19,Liter,4L,2024-06-23 01:11:19
PROD200013,SKU300013,Paint_13,Nerolac,Texture,Wood,1874.12,Liter,4L,2025-08-20 23:19:58
PROD200014,SKU300014,Paint_14,AsianPaints,Texture,Metal,1381.49,Liter,4L,2024-09-15 08:25:32
PROD200015,SKU300015,Paint_15,Shalimar,Emulsion,Exterior,2029.14,Liter,10L,2024-01-13 06:24:45
PROD200016,SKU300016,Paint_16,Nerolac,Enamel,Interior,700.31,Liter,10L,2025-08-15 21:17:46
PROD200017,SKU300017,Paint_17,AsianPaints,Industrial,Metal,2162.13,Liter,20L,2025-03-29 20:36:29
PROD200018,SKU300018,Paint_18,Nerolac,Industrial,Wood,1565.04,Liter,1L,2023-01-22 12:12:53
PROD200019,SKU300019,Paint_19,Dulux,Emulsion,Exterior,454.88,Liter,4L,2025-08-04 17:30:14
PROD200020,SKU300020,Paint_20,Dulux,Industrial,Floor,1575.44,Liter,1L,2025-12-11 19:13:54
PROD200021,SKU300021,Paint_21,Nerolac,Primer,Metal,1773.33,Liter,4L,2024-05-15 01:57:53
PROD200022,SKU300022,Paint_22,AsianPaints,Industrial,Exterior,1619.77,Liter,10L,2023-06-09 00:34:15
PROD200023,SKU300023,Paint_23,Dulux,Primer,Metal,1840.48,Liter,10L,2023-12-15 14:14:26
PROD200024,SKU300024,Paint_24,Berger,Emulsion,Floor,2297.72,Liter,10L,2025-11-14 00:07:45
PROD200025,SKU300025,Paint_25,Nerolac,Emulsion,Wood,1169.2,Liter,20L,2024-07-06 14:30:01
PROD200026,SKU300026,Paint_26,Berger,Primer,Exterior,1815.3,Liter,20L,2024-08-19 06:33:18
PROD200027,SKU300027,Paint_27,AsianPaints,Industrial,Floor,856.36,Liter,4L,2024-07-11 19:59:28
PROD200028,SKU300028,Paint_28,AsianPaints,Emulsion,Exterior,2211.64,Liter,20L,2025-01-17 20:47:42
PROD200029,SKU300029,Paint_29,AsianPaints,Industrial,Interior,830.34,Liter,20L,2024-09-29 04:00:52
PROD200030,SKU300030,Paint_30,Dulux,Texture,Floor,1658.02,Liter,1L,2023-05-13 00:13:00
PROD200031,SKU300031,Paint_31,Shalimar,Enamel,Floor,775.29,Liter,10L,2023-03-31 13:54:23
PROD200032,SKU300032,Paint_32,AsianPaints,Industrial,Interior,330.83,Liter,4L,2025-08-29 07:22:11
PROD200033,SKU300033,Paint_33,Nerolac,Industrial,Interior,549.54,Liter,10L,2024-06-02 10:15:16
PROD200034,SKU300034,Paint_34,Shalimar,Emulsion,Metal,261.44,Liter,20L,2023-08-05 17:01:25
PROD200035,SKU300035,Paint_35,AsianPaints,Enamel,Wood,1669.36,Liter,1L,2023-12-15 00:12:01
PROD200036,SKU300036,Paint_36,AsianPaints,Texture,Metal,1491.05,Liter,4L,2023-09-24 13:56:08
PROD200037,SKU300037,Paint_37,Shalimar,Industrial,Interior,1030.68,Liter,1L,2023-07-23 03:36:50
PROD200038,SKU300038,Paint_38,Dulux,Industrial,Interior,362.79,Liter,4L,2025-10-12 03:42:18
PROD200039,SKU300039,Paint_39,Nerolac,Industrial,Exterior,1836.92,Liter,4L,2023-09-06 02:21:38
PROD200040,SKU300040,Paint_40,Nerolac,Primer,Metal,1664.03,Liter,10L,2024-04-02 08:03:27
PROD200041,SKU300041,Paint_41,Nerolac,Primer,Metal,1492.48,Liter,10L,2025-04-11 12:01:03
