po_id,supplier_id,product_id,qty,price,po_ts
PO500001,SUPP80328,PROD201202,123,2804.32,2023-04-27 14:13:41
PO500002,SUPP80063,PROD201410,447,825.58,2024-02-09 15:12:19
PO500003,SUPP80553,PROD203202,199,377.85,2025-04-27 01:16:32
PO500004,SUPP80868,PROD204231,81,4170.54,2023-09-13 08:08:54
PO500005,SUPP80542,PROD204410,335,794.05,2024-12-14 00:59:43
PO500006,SUPP80225,PROD200006,395,604.4,2025-12-26 01:17:05
PO500007,SUPP80446,PROD204535,494,1024.17,2025-06-25 14:35:03
PO500008,SUPP80164,PROD202873,489,2951.24,2024-02-18 19:14:56
PO500009,SUPP80582,PROD203918,431,2226.33,2025-05-21 00:16:18
PO500010,SUPP80488,PROD201633,447,212.35,2023-02-27 17:10:43
PO500011,SUPP80614,PROD201546,407,3254.22,2024-10-30 17:29:53
PO500012,SUPP80927,PROD201699,147,705.66,2024-12-02 05:56:26
PO500013,SUPP80517,PROD200408,424,4844.69,2024-12-14 23:53:05
PO500014,SUPP80177,PROD203788,283,3673.27,2023-02-02 18:16:54
PO500015,SUPP80711,PROD204381,4,3172.67,2024-11-09 21:53:18
PO500016,SUPP80142,PROD200081,314,1859.28,2024-06-18 05:44:45
PO500017,SUPP80904,PROD200771,333,1655.07,2023-05-20 12:11:36
PO500018,SUPP80889,PROD201831,409,4966.85,2023-11-14 08:21:04
PO500019,SUPP80908,PROD201600,116,1623.72,2025-09-08 10:07:29
PO500020,SUPP80945,PROD204957,249,3420.92,2025-11-18 09:54:32
PO500021,SUPP80814,PROD203859,433,4038.51,2023-06-27 05:12:45
PO500022,SUPP80580,PROD202739,85,4741.74,2025-09-14 17:33:00
PO500023,SUPP80501,PROD200677,279,765.66,2023-10-28 04:49:21
PO500024,SUPP80932,PROD200496,140,3602.08,2024-09-07 12:52:34
PO500025,SUPP80042,PROD204775,98,972.48,2023-04-25 11:08:13
PO500026,SUPP80165,PROD204455,230,614.68,2023-04-08 06:22:29
PO500027,SUPP80123,PROD200982,119,682.68,2024-10-30 08:39:22
PO500028,SUPP80551,PROD201241,247,4066.22,2025-05-14 03:13:46
PO500029,SUPP80860,PROD204005,173,4699.89,2025-11-21 07:13:58
PO500030,SUPP80314,PROD204954,12,2356.17,2023-09-24 22:09:54
PO500031,SUPP80907,PROD201129,283,3280.49,2024-10-23 22:53:04
PO500032,SUPP80085,PROD204973,315,4104.09,2025-04-14 20:50:09
PO500033,SUPP80340,PROD204744,291,2251.87,2023-06-22 18:43:41
PO500034,SUPP80384,PROD200558,500,1358.21,2025-01-26 18:36:17
PO500035,SUPP80650,PROD203645,130,345.33,2024-08-23 13:31:39
PO500036,SUPP80536,PROD204086,147,4654.36,2023-05-29 15:28:23
PO500037,SUPP80449,PROD200637,19,2706.48,2024-07-21 17:34:46
PO500038,SUPP80906,PROD203799,130,3475.01,2023-08-17 08:30:01
PO500039,SUPP80410,PROD200949,227,1185.28,2024-02-20 19:50:52
PO500040,SUPP80258,PROD200363,116,517.89,2023-05-06 14:16:43
PO500041,SUPP80136,PROD200669,441,1804.14,2024-05-29 03:07:58
PO500042,SUPP80629,PROD202823,284,2388.1,2023-04-18 19:54:47
PO500043,SUPP80523,PROD201384,410,3118.34,2025-04-08 15:45:36
PO500044,SUPP80345,PROD203390,205,817.95,2023-04-22 18:14:28
PO500045,SUPP80871,PROD202910,25,3971.06,2023-10-02 02:34:47
PO500046,SUPP80724,PROD203220,492,2411.22,2023-02-14 17:50:34
PO500047,SUPP80799,PROD202329,160,2798.92,2024-06-18 04:57:59
PO500048,SUPP80926,PROD204721,344,3306.28,2024-03-30 18:46:23
PO500049,SUPP80161,PROD201528,87,3863.71,2024-12-25 02:36:10
PO500050,SUPP80941,PROD201045,110,3910.26,2023-07-21 16:41:26
PO500051,SUPP80754,PROD204786,1,2214.39,2023-05-07 14:28:06
PO500052,SUPP80916,PROD200208,268,4364.24,2024-02-17 10:53:18
PO500053,SUPP80205,PROD204238,419,1304.85,2024-09-01 12:56:26
PO500054,SUPP80171,PROD201995,246,3589.56,2023-12-16 10:06:54
PO500055,SUPP80749,PROD200996,253,4961.05,2024-06-25 15:15:20
PO500056,SUPP80287,PROD204115,318,3448.17,2023-04-27 15:11:03
PO500057,SUPP80611,PROD203081,129,599.92,2025-11-15 07:32:42
PO500058,SUPP80339,PROD201154,65,4196.86,2023-12-01 02:07:00
PO500059,SUPP80407,PROD203831,52,1186.01,2024-06-13 14:48:30
PO500060,SUPP80018,PROD202782,462,3705.25,2025-10-30 13:04:26
PO500061,SUPP80471,PROD202380,374,791.26,2025-02-19 02:48:05
PO500062,SUPP80366,PROD202038,311,2680.02,2024-06-10 22:12:54
PO500063,SUPP80425,PROD203593,191,4990.81,2023-07-03 15:22:00
PO500064,SUPP80175,PROD202324,439,4699.74,2023-01-13 02:40:16
PO500065,SUPP80439,PROD201692,189,2504.97,2024-01-09 13:41:07
PO500066,SUPP80028,PROD202490,430,640.21,2025-06-19 09:35:38
PO500067,SUPP80259,PROD202528,225,2439.39,2025-04-22 06:20:54
PO500068,SUPP80166,PROD201659,306,3528.34,2025-09-21 05:02:52
PO500069,SUPP80538,PROD204279,202,143.74,2023-05-18 08:19:04
PO500070,SUPP80899,PROD201961,163,896.28,2024-06-18 04:08:12
PO500071,SUPP80193,PROD204889,458,3530.71,2025-05-28 10:55:29
PO500072,SUPP80349,PROD203387,113,1107.04,2024-09-04 05:19:21
PO500073,SUPP80805,PROD200470,315,685.75,2025-11-08 00:35:32
PO500074,SUPP80273,PROD201248,486,1255.86,2024-01-21 03:52:09
PO500075,SUPP80676,PROD201477,117,2241.6,2025-10-07 22:55:38
PO500076,SUPP80980,PROD201403,40,1796.34,2023-06-05 09:06:22
PO500077,SUPP80398,PROD203351,305,2153.5,2023-09-09 03:27:09
PO500078,SUPP80710,PROD200074,438,4168.59,2025-09-20 20:39:00
PO500079,SUPP80866,PROD200617,483,708.01,2024-01-16 04:10:08
PO500080,SUPP80338,PROD203383,62,4548.47,2023-01-26 06:24:04
PO500081,SUPP80225,PROD204005,14,3382.55,2023-08-06 06:35:40
PO500082,SUPP80195,PROD204364,224,2793.15,2023-06-28 16:00:46
PO500083,SUPP80720,PROD203499,229,893.26,2024-01-06 15:07:50
PO500084,SUPP80790,PROD200661,21,1248.43,2024-05-28 10:35:00
PO500085,SUPP80280,PROD201705,93,1684.44,2025-12-26 09:24:13
PO500086,SUPP80032,PROD201811,61,139.93,2024-12-14 06:12:17
PO500087,SUPP80984,PROD204564,500,1135.9,2024-07-03 18:07:36
PO500088,SUPP80446,PROD200171,334,3208.5,2024-12-02 04:45:10
PO500089,SUPP80695,PROD201018,441,4316.51,2023-09-02 17:11:48
PO500090,SUPP80241,PROD202507,24,4902.56,2025-04-25 03:32:51
PO500091,SUPP80682,PROD203121,446,1161.22,2025-03-18 17:18:07
PO500092,SUPP80654,PROD200947,83,3548.36,2024-06-22 06:56:19
PO500093,SUPP80028,PROD204306,16,4489.05,2023-11-03 01:29:34
PO500094,SUPP80322,PROD202358,172,2475.16,2025-03-01 05:52:06
PO500095,SUPP80087,PROD200174,334,1467.34,2023-07-19 20:19:18
PO500096,SUPP80484,PROD202537,216,4289.63,2024-10-08 07:05:39
PO500097,SUPP80806,PROD204334,126,3400.54,2023-09-06 00:28:29
PO500098,SUPP80082,PROD201358,66,3738.91,2024-01-08 17:45:48
PO500099,SUPP80143,PROD203676,192,3898.02,2023-01-27 08:50:33
PO500100,SUPP80650,PROD200046,127,1205.46,2023-04-01 03:38:39
PO500101,SUPP80835,PROD204931,20,2566.85,2023-08-25 02:14:00
PO500102,SUPP80476,PROD201972,152,4485.86,2025-01-31 23:41:53
PO500103,SUPP80551,PROD201104,83,110.59,2024-04-25 06:25:03
PO500104,SUPP80241,PROD204483,403,397.29,2025-09-03 20:30:39
PO500105,SUPP80923,PROD200901,379,2237.93,2025-04-24 14:47:09
PO500106,SUPP80517,PROD204252,480,3624.84,2024-10-04 02:10:59
PO500107,SUPP80630,PROD200833,45,756.95,2023-06-09 09:41:49
PO500108,SUPP80832,PROD202381,45,4218.71,2025-02-08 06:54:06
PO500109,SUPP80108,PROD200433,100,3173.9,2023-10-04 17:22:49
PO500110,SUPP80043,PROD204758,491,2050.47,2023-10-27 22:36:52
PO500111,SUPP80066,PROD202135,462,2398.48,2025-02-14 06:09:15
PO500112,SUPP80591,PROD200436,268,3225.68,2023-07-30 09:52:27
PO500113,SUPP80738,PROD202511,49,3014.86,2025-12-01 11:15:37
PO500114,SUPP80777,PROD200105,208,2271.81,2023-04-13 01:14:01
PO500115,SUPP80822,PROD204039,35,1267.77,2023-07-18 00:10:55
PO500116,SUPP80070,PROD202803,320,4871.57,2024-04-21 06:00:00
PO500117,SUPP80694,PROD202996,271,3385.83,2025-09-18 03:02:33
PO500118,SUPP80445,PROD203630,208,4845.92,2025-12-21 14:54:55
PO500119,SUPP80631,PROD202803,469,3242.32,2023-10-25 16:41:54
PO500120,SUPP80333,PROD200007,15,4850.64,2024-03-06 08:25:33
PO500121,SUPP80395,PROD204970,447,2157.13,2025-11-13 10:06:39
PO500122,SUPP80839,PROD202682,252,4719.18,2023-05-08 14:46:40
PO500123,SUPP80666,PROD203942,29,673.46,2024-06-30 11:10:05
PO500124,SUPP80486,PROD203904,121,3792.94,2024-04-22 01:15:54
PO500125,SUPP80978,PROD203027,454,2233.5,2023-01-08 17:38:33
PO500126,SUPP80943,PROD204154,472,4174.29,2024-02-18 23:45:59
PO500127,SUPP80536,PROD204622,261,4776.46,2023-04-16 18:20:22
PO500128,SUPP80323,PROD203762,67,4922.56,2024-02-09 22:07:28
PO500129,SUPP80457,PROD200260,478,3777.92,2025-06-22 18:41:07
PO500130,SUPP80592,PROD202205,83,3698.64,2025-05-19 09:18:45
PO500131,SUPP80335,PROD202478,281,4698.76,2025-06-07 09:02:18
PO500132,SUPP80150,PROD204823,119,2448.32,2024-01-30 20:28:15
PO500133,SUPP80433,PROD201748,496,3862.82,2024-05-12 10:24:02
PO500134,SUPP80565,PROD203942,316,2984.68,2024-11-12 15:02:31
PO500135,SUPP80796,PROD202862,350,2549.84,2023-06-15 07:37:34
PO500136,SUPP80581,PROD200722,339,3096.65,2023-04-10 04:04:39
PO500137,SUPP80105,PROD204068,207,648.49,2024-09-25 15:39:09
PO500138,SUPP80470,PROD201047,478,2277.41,2023-12-16 22:05:44
PO500139,SUPP80701,PROD200537,56,388.79,2024-10-26 03:43:56
PO500140,SUPP80134,PROD200992,248,1172.13,2024-03-25 02:06:07
PO500141,SUPP80503,PROD200784,45,1596.54,2023-07-03 23:58:38
PO500142,SUPP80505,PROD202590,124,658.45,2023-04-04 03:12:38
PO500143,SUPP80094,PROD204139,149,1024.64,2024-08-14 10:17:42
PO500144,SUPP80003,PROD203648,123,389.93,2023-11-29 17:30:16
PO500145,SUPP80025,PROD204804,286,3261.11,2024-03-14 10:45:13
PO500146,SUPP80182,PROD203847,326,4685.29,2024-04-18 08:17:21
PO500147,SUPP80332,PROD203075,483,3188.74,2024-09-28 03:13:51
PO500148,SUPP80045,PROD204291,202,4641.4,2024-04-07 22:18:28
PO500149,SUPP80360,PROD204164,493,3381.05,2025-04-15 05:47:21
PO500150,SUPP80247,PROD202753,277,3702.28,2025-02-15 23:50:05
PO500151,SUPP80174,PROD204363,227,4603.55,2025-10-08 19:42:00
PO500152,SUPP80465,PROD200390,17,4729.92,2023-11-23 13:40:55
