sale_id,customer_id,customer_type,product_id,store_id,distributor_id,dealer_id,brand_store_id,supplier_id,division,quantity,sale_amount,discount_amount,sale_ts,channel
SALE2000001,CUST100895,Organization,PROD201010,STORE50233,DIST30077,DEAL40705,BRAND20208,SUPP80922,LocalShop,13,5847.0,43.92,2025-10-12 22:53:12,Project
SALE2000002,CUST100608,Individual,PROD202793,STORE51135,DIST30827,DEAL40952,BRAND20688,SUPP80970,BrandStore,44,51071.1,99.26,2024-12-05 00:00:12,Offline
SALE2000003,CUST104815,Individual,PROD200114,STORE51342,DIST31445,DEAL41885,BRAND20855,SUPP80932,Dealers,32,77362.02,112.76,2025-05-29 02:29:56,Offline
SALE2000004,CUST102114,Organization,PROD203053,STORE51434,DIST30591,DEAL41555,BRAND20483,SUPP80858,LocalShop,13,11928.76,90.62,2023-05-14 09:35:32,Project
SALE2000005,CUST100097,Organization,PROD204934,STORE51140,DIST30487,DEAL40589,BRAND20954,SUPP80207,Retail,4,11993.13,72.94,2024-12-12 09:34:43,Online
SALE2000006,CUST102269,Organization,PROD201882,STORE51058,DIST31268,DEAL41799,BRAND20882,SUPP80952,BrandStore,2,3742.86,107.56,2023-09-23 19:35:21,Online
SALE2000007,CUST100269,Individual,PROD202121,STORE51885,DIST31106,DEAL41483,BRAND20977,SUPP80677,Projects,20,22054.59,198.7,2024-12-03 04:13:06,Project
SALE2000008,CUST101265,Organization,PROD201439,STORE51097,DIST31552,DEAL40248,BRAND20049,SUPP80395,Distributors,26,14676.86,182.94,2025-04-10 18:44:19,Offline
SALE2000009,CUST100884,Individual,PROD202335,STORE51863,DIST30111,DEAL41144,BRAND20053,SUPP80637,Retail,21,11284.87,69.19,2023-08-17 13:24:39,Offline
SALE2000010,CUST103171,Individual,PROD200289,STORE51798,DIST30809,DEAL40731,BRAND20275,SUPP80598,Distributors,26,55176.13,3.13,2024-10-29 15:56:33,Offline
SALE2000011,CUST100097,Individual,PROD204149,STORE51000,DIST31178,DEAL40800,BRAND20647,SUPP80869,Industrial,5,7176.9,181.51,2023-10-13 01:30:15,Offline
SALE2000012,CUST101954,Individual,PROD203618,STORE50759,DIST30953,DEAL41205,BRAND20329,SUPP80211,Dealers,21,47153.63,39.73,2024-12-21 17:08:23,Online
SALE2000013,CUST103263,Individual,PROD201989,STORE50285,DIST31622,DEAL41356,BRAND20248,SUPP80877,Dealers,16,44791.53,196.77,2025-08-05 16:22:22,Online
SALE2000014,CUST104961,Organization,PROD203126,STORE50203,DIST30306,DEAL40308,BRAND20404,SUPP80686,Retail,13,26448.79,77.96,2023-03-17 01:23:51,Online
SALE2000015,CUST100232,Organization,PROD204335,STORE50016,DIST31160,DEAL40088,BRAND20153,SUPP80773,LocalShop,17,33105.11,185.49,2024-12-09 02:48:26,Offline
SALE2000016,CUST101920,Individual,PROD202696,STORE50396,DIST30081,DEAL40596,BRAND20017,SUPP80135,Distributors,27,28763.67,35.61,2023-07-09 22:33:58,Online
SALE2000017,CUST101457,Individual,PROD204099,STORE50255,DIST31948,DEAL41659,BRAND20354,SUPP80910,Industrial,37,78476.9,66.19,2024-06-26 09:32:50,Offline
SALE2000018,CUST103808,Individual,PROD202388,STORE50648,DIST30660,DEAL41334,BRAND20743,SUPP80274,Industrial,20,51884.49,118.47,2025-06-11 06:25:49,Project
SALE2000019,CUST103405,Organization,PROD200993,STORE51493,DIST30844,DEAL41136,BRAND20467,SUPP80378,Retail,8,17501.35,155.05,2023-03-18 12:06:17,Project
SALE2000020,CUST104236,Individual,PROD201395,STORE50827,DIST31090,DEAL41473,BRAND20691,SUPP80749,BrandStore,3,6503.81,189.14,2023-10-21 03:25:57,Project
SALE2000021,CUST102371,Individual,PROD203727,STORE51733,DIST31000,DEAL41980,BRAND20447,SUPP80061,Retail,35,24982.06,104.1,2024-07-15 23:36:25,Offline
SALE2000022,CUST100416,Organization,PROD204305,STORE51320,DIST30935,DEAL40730,BRAND20348,SUPP80610,LocalShop,44,111937.19,56.89,2025-07-01 10:23:56,Project
SALE2000023,CUST104691,Organization,PROD200740,STORE50943,DIST31546,DEAL40301,BRAND20460,SUPP80017,Dealers,23,6016.7,58.48,2025-08-20 00:05:11,Project
SALE2000024,CUST101805,Organization,PROD204708,STORE50119,DIST31298,DEAL40445,BRAND20411,SUPP80628,Distributors,8,5291.35,158.57,2025-07-27 18:45:05,Offline
SALE2000025,CUST102179,Individual,PROD201587,STORE50273,DIST31549,DEAL41917,BRAND20411,SUPP80932,BrandStore,43,83797.64,57.2,2025-11-19 02:58:24,Online
SALE2000026,CUST103760,Organization,PROD200941,STORE50182,DIST30245,DEAL40631,BRAND20443,SUPP80328,Dealers,38,64362.37,135.41,2024-04-23 13:26:50,Project
SALE2000027,CUST100364,Individual,PROD203476,STORE50330,DIST30127,DEAL41833,BRAND20544,SUPP80586,Retail,6,9320.52,31.44,2024-07-01 12:46:01,Project
SALE2000028,CUST102099,Organization,PROD201513,STORE50424,DIST30167,DEAL41169,BRAND20124,SUPP80220,Dealers,35,25161.4,189.63,2025-05-30 13:12:26,Project
SALE2000029,CUST104770,Individual,PROD200050,STORE51012,DIST31834,DEAL41672,BRAND20973,SUPP80190,LocalShop,29,45336.45,175.21,2025-05-31 23:38:30,Project
SALE2000030,CUST103836,Organization,PROD202558,STORE51463,DIST31888,DEAL40845,BRAND20578,SUPP80060,Industrial,38,63203.87,127.62,2024-06-23 08:47:46,Online
SALE2000031,CUST101671,Organization,PROD203875,STORE51101,DIST31214,DEAL40532,BRAND20001,SUPP80346,Retail,12,33897.77,65.6,2023-05-28 04:22:14,Offline
SALE2000032,CUST102734,Individual,PROD203588,STORE51933,DIST30620,DEAL41620,BRAND20911,SUPP80205,BrandStore,1,2444.43,95.86,2024-02-05 11:30:40,Offline
