shipment_id,po_id,carrier,tracking_id,shipped_ts,delivered_ts
SHIP700001,PO504523,DHL,TRK0587219114,2025-03-31 17:06:09,2024-01-08 21:51:49
SHIP700002,PO504315,FedEx,TRK7660190515,2024-08-19 10:34:02,2026-01-19 01:26:04
SHIP700003,PO501017,BlueDart,TRK5142642503,2024-03-02 01:26:56,2026-11-22 01:44:39
SHIP700004,PO504789,FedEx,TRK7424526461,2023-11-09 07:45:10,2025-08-15 03:25:40
SHIP700005,PO502657,DHL,TRK4542515015,2025-04-10 15:04:30,2024-11-26 12:43:45
SHIP700006,PO503755,BlueDart,TRK9186626283,2025-11-29 18:20:55,2024-12-30 07:19:25
SHIP700007,PO501124,DHL,TRK1643831135,2025-08-21 04:44:23,2026-12-04 23:47:33
SHIP700008,PO501530,FedEx,TRK8091630321,2024-09-07 23:31:46,2026-05-05 04:01:25
SHIP700009,PO502345,FedEx,TRK4440743630,2025-11-04 00:22:06,2025-03-13 19:46:03
SHIP700010,PO501030,DHL,TRK8170353172,2023-09-14 22:56:26,2026-08-05 00:11:02
SHIP700011,PO503363,DHL,TRK7902143514,2025-04-09 07:58:23,2025-02-15 08:32:14
SHIP700012,PO504277,DHL,TRK4433868859,2023-01-16 02:38:58,2025-12-16 10:07:14
SHIP700013,PO500822,DHL,TRK1892534313,2024-03-15 07:04:26,2025-01-18 09:35:54
SHIP700014,PO501281,DHL,TRK9809159545,2023-07-08 00:22:39,2025-04-21 23:31:52
SHIP700015,PO502616,DHL,TRK6078129677,2025-05-31 23:37:51,2026-07-26 04:18:53
SHIP700016,PO503694,DHL,TRK3969064409,2023-05-08 04:28:17,2024-03-21 09:12:05
SHIP700017,PO504350,FedEx,TRK2692686552,2024-12-24 21:12:53,2025-05-20 22:23:05
SHIP700018,PO504304,BlueDart,TRK3612522510,2023-01-16 03:30:55,2024-07-22 02:58:12
SHIP700019,PO503488,FedEx,TRK8820619013,2025-03-21 13:02:30,2025-02-14 07:07:30
SHIP700020,PO503425,BlueDart,TRK7199821200,2023-05-21 03:34:20,2026-04-14 18:47:58
SHIP700021,PO504507,FedEx,TRK6822178005,2025-08-12 04:37:09,2025-09-11 03:21:57
SHIP700022,PO503620,FedEx,TRK8726997296,2024-09-16 02:42:23,2025-12-25 18:37:28
SHIP700023,PO502933,BlueDart,TRK9171407539,2023-12-27 06:58:53,2026-11-26 13:41:00
SHIP700024,PO501034,FedEx,TRK5904469554,2023-07-02 17:51:34,2025-08-11 12:48:09
SHIP700025,PO503855,FedEx,TRK2874484877,2024-07-22 17:50:37,2026-05-23 15:02:52
SHIP700026,PO501858,DHL,TRK0189230077,2025-01-25 09:05:41,2026-12-11 12:53:56
SHIP700027,PO503128,Delhivery,TRK5808206198,2025-08-17 03:37:01,2025-04-03 11:36:16
SHIP700028,PO502565,FedEx,TRK8902458745,2025-07-19 12:29:59,2026-10-04 22:36:04
SHIP700029,PO500225,FedEx,TRK6765370249,2024-11-11 14:07:20,2025-12-30 06:00:37
SHIP700030,PO500002,FedEx,TRK6633307580,2025-10-25 12:23:29,2025-08-25 11:28:51
SHIP700031,PO501235,BlueDart,TRK2882748802,2024-06-12 11:15:08,2025-09-03 11:01:52
