store_id,store_name,store_type,city,state,region,created_at
STORE50001,Store_1,BrandStore,Bengaluru,Karnataka,North,2023-06-23 12:27:45
STORE50002,Store_2,BrandStore,Bengaluru,Telangana,North,2025-11-12 14:59:37
STORE50003,Store_3,BrandStore,Lucknow,West Bengal,East,2023-10-16 15:11:37
STORE50004,Store_4,LocalShop,Ahmedabad,Delhi,North,2024-10-20 12:26:16
STORE50005,Store_5,LocalShop,Lucknow,Telangana,East,2025-12-13 13:56:56
STORE50006,Store_6,DistributorOutlet,Delhi,Maharashtra,West,2024-07-21 09:25:03
STORE50007,Store_7,LocalShop,Nagpur,Maharashtra,North,2023-11-20 15:59:31
STORE50008,Store_8,LocalShop,Kolkata,Gujarat,South,2025-02-18 07:37:44
STORE50009,Store_9,BrandStore,Pune,Uttar Pradesh,Central,2024-05-17 06:18:01
STORE50010,Store_10,BrandStore,Lucknow,Maharashtra,West,2023-08-09 23:06:45
STORE50011,Store_11,BrandStore,Hyderabad,Gujarat,East,2023-12-04 18:49:49
STORE50012,Store_12,BrandStore,Ahmedabad,Delhi,Central,2024-08-02 18:38:11
STORE50013,Store_13,DistributorOutlet,Lucknow,Tamil Nadu,West,2023-11-10 03:19:51
STORE50014,Store_14,LocalShop,Kolkata,Maharashtra,West,2024-08-19 13:57:11
STORE50015,Store_15,BrandStore,Jaipur,Karnataka,North,2024-11-10 10:00:19
STORE50016,Store_16,BrandStore,Lucknow,Gujarat,North,2025-02-14 09:59:12
STORE50017,Store_17,LocalShop,Jaipur,Gujarat,Central,2025-01-18 11:16:04
STORE50018,Store_18,BrandStore,Bengaluru,Gujarat,West,2024-12-25 04:28:08
STORE50019,Store_19,DistributorOutlet,Bengaluru,Delhi,East,2024-08-09 09:54:57
STORE50020,Store_20,BrandStore,Lucknow,Maharashtra,West,2025-12-07 23:48:44
STORE50021,Store_21,BrandStore,Mumbai,Rajasthan,East,2024-06-28 11:23:24
STORE50022,Store_22,LocalShop,Jaipur,Uttar Pradesh,North,2024-04-23 07:08:08
STORE50023,Store_23,BrandStore,Hyderabad,West Bengal,North,2024-09-29 15:31:33
STORE50024,Store_24,LocalShop,Surat,Maharashtra,West,2025-03-25 10:21:15
STORE50025,Store_25,LocalShop,Surat,Maharashtra,South,2024-09-22 06:11:25
STORE50026,Store_26,LocalShop,Nagpur,Maharashtra,Central,2024-05-31 22:42:17
STORE50027,Store_27,DistributorOutlet,Delhi,West Bengal,Central,2025-08-19 18:35:38
STORE50028,Store_28,BrandStore,Nagpur,Rajasthan,South,2025-05-01 17:19:38
STORE50029,Store_29,BrandStore,Bengaluru,West Bengal,Central,2024-12-31 09:52:55
STORE50030,Store_30,BrandStore,Hyderabad,Gujarat,Central,2023-10-17 07:00:07
STORE50031,Store_31,DistributorOutlet,Bengaluru,Gujarat,West,2024-08-15 05:27:51
STORE50032,Store_32,LocalShop,Pune,Gujarat,West,2025-01-17 06:01:00
STORE50033,Store_33,LocalShop,Surat,Telangana,Central,2023-09-10 11:30:42
STORE50034,Store_34,BrandStore,Bengaluru,Rajasthan,East,2023-12-03 07:24:29
STORE50035,Store_35,BrandStore,Pune,Rajasthan,North,2023-10-22 00:34:23
STORE50036,Store_36,DistributorOutlet,Lucknow,West Bengal,East,2025-09-04 23:55:51
