TRANSACTION_ID,STORE_ID,PRODUCT_ID,CUSTOMER_ID,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,TRANSACTION_DT
T0000001,S066,P0453,C002314,4,719.74,2878.96,2022-06-08 16:49:44
T0000002,S131,P0055,C000606,7,150.53,1053.71,2023-11-26 19:57:47
T0000003,S132,P0375,C000509,1,268.15,268.15,2023-08-19 22:51:17
T0000004,S162,P0380,C002286,7,621.19,4348.33,2024-12-14 22:50:05
T0000005,S172,P0123,C000721,1,160.89,160.89,2021-06-15 21:46:50
T0000006,S119,P0021,C002574,4,215.84,863.36,2021-02-16 17:51:34
T0000007,S161,P0398,C002152,2,187.1,374.2,2023-08-09 15:25:51
T0000008,S033,P0128,C002943,3,723.93,2171.79,2022-11-01 12:12:43
T0000009,S136,P0279,C000467,2,545.99,1091.98,2024-08-17 22:38:46
T0000010,S167,P0060,C000678,8,357.36,2858.88,2023-08-07 15:14:29
T0000011,S026,P0452,C001486,2,123.84,247.68,2024-01-23 01:04:23
T0000012,S116,P0258,C001090,5,301.0,1505.0,2021-09-17 09:35:05
T0000013,S100,P0240,C001781,1,473.33,473.33,2021-05-06 09:14:47
T0000014,S169,P0483,C000570,6,397.64,2385.84,2024-05-30 16:09:24
T0000015,S106,P0162,C002036,2,210.8,421.6,2022-01-12 12:19:42
T0000016,S066,P0153,C001434,9,313.81,2824.29,2022-09-10 16:02:09
T0000017,S146,P0341,C001446,2,291.06,582.12,2024-05-03 14:14:02
T0000018,S017,P0131,C002350,10,381.76,3817.6,2021-02-06 02:25:44
T0000019,S169,P0361,C001084,1,428.66,428.66,2024-11-19 21:23:20
T0000020,S006,P0172,C001244,5,760.74,3803.7,2022-09-30 20:48:23
T0000021,S109,P0088,C002659,6,344.15,2064.9,2021-10-24 03:59:15
T0000022,S108,P0179,C001009,9,690.97,6218.73,2024-06-13 16:37:47
T0000023,S199,P0487,C000890,10,533.34,5333.4,2024-10-10 01:45:11
T0000024,S118,P0462,C001654,7,348.24,2437.68,2023-04-04 17:41:49
T0000025,S092,P0360,C000622,5,49.95,249.75,2024-08-12 10:49:54
T0000026,S047,P0008,C000986,2,684.17,1368.34,2022-10-19 17:30:21
T0000027,S151,P0304,C002023,1,711.16,711.16,2023-04-09 12:38:23
T0000028,S143,P0034,C000420,3,587.93,1763.79,2022-07-23 13:25:35
T0000029,S194,P0030,C001937,8,266.1,2128.8,2024-02-02 08:30:42
T0000030,S112,P0115,C001341,1,57.64,57.64,2024-10-15 22:43:00
T0000031,S108,P0377,C002096,1,126.5,126.5,2021-07-30 20:42:36
T0000032,S036,P0075,C001883,2,690.45,1380.9,2023-05-07 15:06:51
T0000033,S044,P0106,C002488,4,772.91,3091.64,2023-01-04 06:33:40
T0000034,S108,P0001,C000348,8,745.24,5961.92,2024-07-12 16:17:26
T0000035,S045,P0440,C001707,6,146.6,879.6,2022-11-19 18:23:02
T0000036,S018,P0429,C000836,3,420.63,1261.89,2023-06-10 03:35:22
T0000037,S049,P0172,C002686,5,760.74,3803.7,2021-10-07 16:28:16
T0000038,S002,P0043,C002751,9,754.62,6791.58,2021-09-20 07:47:07
T0000039,S052,P0331,C000544,1,785.23,785.23,2021-04-16 06:02:47
T0000040,S084,P0442,C002802,4,573.45,2293.8,2021-03-30 10:01:38
T0000041,S186,P0205,C001930,5,362.54,1812.7,2021-02-04 16:29:57
T0000042,S025,P0279,C002943,6,545.99,3275.94,2022-03-27 08:27:47
T0000043,S029,P0390,C000318,6,665.43,3992.58,2023-04-07 10:44:28
T0000044,S179,P0260,C000901,6,313.93,1883.58,2023-04-30 06:28:12
T0000045,S190,P0285,C001888,6,89.42,536.52,2022-01-31 03:52:38
T0000046,S199,P0261,C001060,9,526.39,4737.51,2022-04-30 08:39:22
T0000047,S097,P0148,C002305,3,390.62,1171.86,2021-08-15 12:32:50
T0000048,S039,P0421,C002883,10,642.07,6420.7,2023-04-30 09:13:35
T0000049,S094,P0488,C002134,8,544.2,4353.6,2021-05-10 13:46:12
T0000050,S099,P0100,C002661,10,285.98,2859.8,2022-03-05 01:42:59
T0000051,S054,P0068,C000660,2,49.92,99.84,2023-06-08 20:06:02
T0000052,S183,P0401,C002104,1,426.53,426.53,2023-08-14 00:06:49
T0000053,S025,P0263,C000639,2,376.29,752.58,2024-12-06 12:10:31
T0000054,S087,P0251,C001077,2,109.16,218.32,2021-10-02 13:23:12
T0000055,S026,P0092,C000426,9,784.79,7063.11,2024-01-24 06:56:00
T0000056,S178,P0100,C001190,1,285.98,285.98,2024-08-27 02:50:17
T0000057,S121,P0295,C002922,2,622.47,1244.94,2024-04-29 11:04:20
T0000058,S069,P0358,C002905,6,437.68,2626.08,2024-07-13 13:18:53
T0000059,S122,P0459,C001790,7,114.1,798.7,2024-04-06 13:43:10
T0000060,S039,P0177,C000826,7,481.51,3370.57,2023-07-14 03:45:34
T0000061,S027,P0249,C000504,3,422.66,1267.98,2021-03-30 08:18:24
T0000062,S079,P0500,C001503,8,282.65,2261.2,2024-11-18 09:46:18
T0000063,S032,P0324,C001821,6,635.54,3813.24,2023-02-19 12:32:35
T0000064,S159,P0370,C000708,4,421.74,1686.96,2021-01-12 01:43:20
T0000065,S034,P0095,C001199,3,695.3,2085.9,2021-09-22 08:24:33
T0000066,S116,P0047,C001649,7,795.32,5567.24,2022-09-30 08:18:03
T0000067,S056,P0339,C002991,4,240.38,961.52,2024-11-21 12:56:48
T0000068,S022,P0416,C002455,10,338.45,3384.5,2024-06-24 16:26:39
T0000069,S161,P0381,C000655,2,417.21,834.42,2021-05-16 02:30:06
T0000070,S082,P0069,C002514,3,799.67,2399.01,2023-06-25 00:19:02
T0000071,S158,P0477,C002792,10,284.63,2846.3,2022-03-11 02:01:20
T0000072,S108,P0416,C001930,7,338.45,2369.15,2024-07-15 09:20:41
T0000073,S033,P0025,C002599,2,200.63,401.26,2021-07-11 18:09:20
T0000074,S195,P0428,C002841,4,332.58,1330.32,2021-06-03 01:27:37
T0000075,S020,P0021,C002510,2,215.84,431.68,2021-03-05 09:33:14
T0000076,S101,P0019,C000197,6,292.06,1752.36,2022-01-16 23:36:13
T0000077,S012,P0160,C002398,6,64.92,389.52,2023-03-04 15:12:15
T0000078,S137,P0416,C001641,6,338.45,2030.7,2021-07-02 00:45:35
T0000079,S052,P0281,C002447,6,308.61,1851.66,2022-03-08 17:11:29
T0000080,S176,P0325,C000744,3,45.66,136.98,2023-07-30 19:16:16
T0000081,S059,P0423,C002350,3,493.9,1481.7,2024-05-14 00:17:49
T0000082,S043,P0175,C000879,3,635.97,1907.91,2022-09-22 09:45:08
T0000083,S136,P0279,C002230,1,545.99,545.99,2023-10-05 14:53:56
T0000084,S154,P0419,C002971,7,245.38,1717.66,2023-01-01 16:50:40
T0000085,S122,P0407,C001634,6,617.6,3705.6,2022-10-01 07:46:02
T0000086,S147,P0181,C002442,3,539.01,1617.03,2024-02-09 20:38:14
T0000087,S026,P0132,C001736,4,799.52,3198.08,2021-05-30 06:03:02
T0000088,S168,P0395,C001211,6,218.56,1311.36,2024-11-01 08:36:33
T0000089,S067,P0233,C001072,10,618.4,6184.0,2024-12-11 02:23:45
T0000090,S020,P0208,C000140,9,302.27,2720.43,2022-06-28 16:56:52
T0000091,S140,P0349,C000494,9,62.61,563.49,2021-11-20 05:16:45
T0000092,S042,P0110,C002634,5,586.28,2931.4,2024-10-22 09:52:03
T0000093,S163,P0294,C001187,5,552.3,2761.5,2023-07-19 10:59:53
T0000094,S138,P0156,C002152,6,507.05,3042.3,2024-09-23 14:23:03
T0000095,S200,P0318,C001272,5,42.66,213.3,2022-11-04 02:55:35
T0000096,S180,P0135,C000726,2,783.02,1566.04,2024-07-12 13:23:51
T0000097,S119,P0072,C002543,10,169.75,1697.5,2021-07-10 09:20:49
T0000098,S034,P0195,C002941,1,323.3,323.3,2023-09-10 02:20:16
T0000099,S057,P0104,C002373,2,275.0,550.0,2022-07-07 08:31:51
T0000100,S137,P0067,C001806,7,714.86,5004.02,2022-07-31 14:26:17
T0000101,S030,P0483,C000542,4,397.64,1590.56,2024-05-16 12:48:04
T0000102,S083,P0136,C001503,3,36.24,108.72,2022-11-18 20:47:35
T0000103,S200,P0058,C000852,8,571.3,4570.4,2021-12-20 00:22:55
T0000104,S106,P0407,C001920,8,617.6,4940.8,2024-07-31 07:55:39
T0000105,S016,P0484,C002541,8,230.8,1846.4,2024-02-25 00:57:39
T0000106,S062,P0437,C002505,10,662.68,6626.8,2022-03-14 09:17:46
T0000107,S103,P0287,C001619,3,539.69,1619.07,2021-04-15 17:26:07
T0000108,S088,P0496,C000869,10,374.0,3740.0,2021-08-26 21:49:21
T0000109,S023,P0390,C002701,10,665.43,6654.3,2022-01-25 19:59:19
T0000110,S041,P0265,C002802,10,767.45,7674.5,2021-06-21 18:34:17
T0000111,S185,P0108,C002963,6,703.13,4218.78,2021-01-27 16:06:27
T0000112,S061,P0319,C002050,5,583.28,2916.4,2023-12-26 23:14:57
T0000113,S083,P0174,C000045,6,635.83,3814.98,2021-03-17 14:14:36
T0000114,S131,P0061,C001417,2,528.68,1057.36,2024-11-03 03:09:16
T0000115,S068,P0213,C000546,8,313.02,2504.16,2023-10-26 12:08:54
T0000116,S102,P0395,C002600,7,218.56,1529.92,2021-11-26 02:35:58
T0000117,S121,P0479,C002893,7,638.89,4472.23,2021-11-28 16:49:20
T0000118,S184,P0091,C001269,4,573.17,2292.68,2023-11-02 04:28:58
T0000119,S079,P0138,C001486,7,497.44,3482.08,2022-12-20 03:01:56
T0000120,S182,P0434,C001100,10,234.46,2344.6,2024-05-18 16:28:15
T0000121,S088,P0105,C002664,1,327.28,327.28,2021-05-23 10:46:44
T0000122,S067,P0198,C000871,4,585.05,2340.2,2024-01-20 09:31:29
T0000123,S083,P0167,C001163,6,561.52,3369.12,2021-01-07 03:14:59
T0000124,S033,P0336,C000583,3,791.62,2374.86,2021-05-31 22:28:00
T0000125,S176,P0410,C002135,9,382.07,3438.63,2022-09-01 20:22:59
T0000126,S026,P0105,C000324,3,327.28,981.84,2021-04-20 13:01:49
T0000127,S156,P0126,C000230,9,385.09,3465.81,2024-03-21 18:56:49
T0000128,S159,P0365,C000960,1,378.07,378.07,2024-03-04 05:32:04
T0000129,S168,P0473,C000760,3,37.14,111.42,2024-12-29 01:26:28
T0000130,S043,P0368,C001265,2,253.58,507.16,2023-10-21 15:32:11
T0000131,S105,P0469,C002426,8,598.79,4790.32,2021-04-04 14:42:14
T0000132,S136,P0104,C002854,9,275.0,2475.0,2021-11-22 20:07:23
T0000133,S043,P0194,C002898,7,241.76,1692.32,2023-07-08 10:32:28
T0000134,S016,P0351,C000076,1,546.81,546.81,2024-05-10 17:30:26
T0000135,S125,P0114,C001343,5,764.69,3823.45,2024-04-03 23:58:44
T0000136,S105,P0095,C001497,10,695.3,6953.0,2022-12-18 21:31:32
T0000137,S005,P0375,C000473,3,268.15,804.45,2021-07-05 07:54:53
T0000138,S094,P0171,C000774,1,336.57,336.57,2021-08-31 05:53:26
T0000139,S087,P0114,C001035,4,764.69,3058.76,2023-06-04 09:24:35
T0000140,S100,P0220,C002382,4,604.51,2418.04,2023-08-11 02:14:25
T0000141,S110,P0244,C002600,6,366.27,2197.62,2023-06-10 10:51:57
T0000142,S075,P0012,C000863,2,626.47,1252.94,2022-07-03 18:45:04
T0000143,S045,P0094,C000490,2,739.84,1479.68,2024-06-22 09:28:46
T0000144,S085,P0488,C002859,8,544.2,4353.6,2022-01-05 00:41:05
T0000145,S089,P0192,C001312,4,86.59,346.36,2021-11-30 03:40:15
T0000146,S102,P0415,C002658,9,618.17,5563.53,2022-10-27 12:48:30
T0000147,S082,P0001,C000632,7,745.24,5216.68,2024-05-05 10:22:54
T0000148,S095,P0008,C001445,9,684.17,6157.53,2022-03-04 14:15:55
T0000149,S014,P0237,C000652,3,671.68,2015.04,2024-02-22 18:18:35
T0000150,S073,P0401,C002369,10,426.53,4265.3,2022-02-13 21:06:57
T0000151,S039,P0407,C002986,9,617.6,5558.4,2024-07-22 20:21:15
T0000152,S188,P0365,C002916,7,378.07,2646.49,2023-03-06 18:24:08
T0000153,S149,P0271,C000060,2,344.75,689.5,2021-03-05 14:33:37
T0000154,S162,P0348,C001395,3,561.12,1683.36,2023-12-22 12:32:32
T0000155,S073,P0489,C001277,4,152.98,611.92,2021-03-07 11:25:58
T0000156,S045,P0339,C000866,7,240.38,1682.66,2021-07-31 09:16:09
T0000157,S196,P0049,C001771,4,322.89,1291.56,2024-08-29 16:12:28
T0000158,S005,P0236,C002614,3,571.83,1715.49,2023-10-15 09:29:30
T0000159,S181,P0072,C000120,1,169.75,169.75,2024-09-11 23:12:10
