customer_id,customer_name,customer_type,email,phone,city,state,pin_code,created_at
CUST00001,"Bishop, Gray and Johnson",Corporate,hunter35@peterson-beard.com,+1-083-136-7837,Westtown,Colorado,39067,2022-09-30T13:04:51
CUST00002,Holt-Torres,Distributor,thomas85@barajas-pierce.com,001-744-431-3518x233,Hillshire,Wisconsin,69266,2023-04-09T07:34:04
CUST00003,Wall LLC,Distributor,michaelturner@ferguson.net,271-094-7775x2047,Port Cameronfort,California,76132,2021-04-26T15:02:16
CUST00004,Hernandez PLC,Corporate,christopher31@duran.com,001-867-749-6499x09133,Donnaburgh,Kansas,23283,2025-07-23T01:10:50
CUST00005,Moore Group,Retail,enorris@johnson-roberts.com,001-713-493-6183x242,North Gabrielport,Rhode Island,98668,2025-09-14T12:48:32
CUST00006,Gonzales-Harrison,Distributor,holly48@snyder.biz,001-594-013-9904x9027,Moonburgh,Pennsylvania,57633,2025-01-16T19:23:19
CUST00007,Harrison Group,Corporate,manuel12@jenkins-simpson.biz,001-807-154-5168x08760,New Michael,Wisconsin,65839,2024-08-15T10:37:04
CUST00008,Harris PLC,Distributor,sarakim@washington.com,001-248-086-1317x127,Williamview,Nebraska,63743,2024-11-17T04:54:52
CUST00009,Bryant and Sons,Corporate,mlee@francis.biz,840-449-9727x87558,Gibsonmouth,Illinois,91923,2022-11-23T00:17:15
CUST00010,"Reyes, Chase and Jenkins",Retail,julie66@sparks.com,(895)171-8702,Pittsberg,California,62038,2023-02-12T11:11:11
CUST00011,Hanson-Sanders,Retail,christianmelissa@james.info,+1-091-343-1611,Jacksonport,Alaska,06529,2023-08-15T20:47:01
CUST00012,Carter LLC,Wholesale,hthomas@knight-sparks.com,(196)937-9237,Stevetown,New Jersey,38201,2025-07-06T06:58:01
CUST00013,Jones LLC,Distributor,danielle64@bruce-gonzalez.biz,136.959.4406x4090,Wallport,Wyoming,30663,2023-11-10T16:36:36
CUST00014,Fields PLC,Wholesale,erica21@lucas.org,(214)562-3285x884,West Robin,New Mexico,39185,2023-09-29T10:05:43
CUST00015,Mcdonald Inc,Retail,karenperez@ramsey.net,(160)481-7549x651,South Angel,Oklahoma,43493,2022-09-29T19:59:24
CUST00016,"Brown, Colon and Blankenship",Corporate,debra12@shah.info,138-267-5869,South Diana,New York,81195,2024-05-02T00:58:53
CUST00017,Johnson-Wood,Retail,pwallace@garcia-jennings.net,+1-506-431-7139x0053,Port Anne,California,73142,2022-08-16T16:25:43
CUST00018,"Robinson, Kane and Murphy",Retail,kristinacarlson@garrison-thomas.com,+1-421-020-5395,East Josephberg,West Virginia,55677,2025-05-03T13:26:08
CUST00019,Reese Group,Corporate,gstrickland@rodriguez.com,001-847-007-6617x7115,North David,South Carolina,83479,2025-11-03T17:36:36
CUST00020,"Joseph, James and Harper",Wholesale,shawn96@mcguire.net,001-367-365-7661x5654,Stephaniefort,California,12458,2021-08-03T06:53:01
CUST00021,Reynolds Ltd,Distributor,lisa80@frye.biz,(604)945-1983x273,West Meganstad,Delaware,37013,2025-09-29T17:39:17
CUST00022,Aguirre PLC,Retail,lynchdiane@adams.com,502-296-1201x83667,Ericport,Washington,43018,2025-09-09T12:29:54
CUST00023,"Miller, Williams and Moore",Retail,craigjoseph@coleman.com,001-815-614-9784x03690,East Kevinborough,Wyoming,18488,2023-01-13T22:34:15
CUST00024,Murphy-Smith,Distributor,ythompson@padilla.com,606-071-5969,Mckinneychester,Maine,15597,2024-04-22T11:03:12
CUST00025,Burch and Sons,Retail,xcollier@kim.com,(968)164-5352x18188,Port Michael,Washington,85100,2022-02-12T22:12:28
CUST00026,Garcia LLC,Distributor,glennhernandez@jones.info,001-997-995-5271x77449,West Williamport,New Jersey,59734,2021-03-07T21:51:19
CUST00027,Wood LLC,Distributor,newmantiffany@gilbert.biz,980.793.5978x207,Port Rachelmouth,Virginia,11554,2025-02-25T15:33:21
CUST00028,"Thompson, Wright and Kim",Distributor,nwarren@cox.biz,(590)515-1864x49251,West Kyle,Tennessee,92052,2024-03-12T20:09:40
CUST00029,Larson Inc,Corporate,angelica52@warner.net,685-054-2357,East Zoe,Georgia,10615,2023-05-19T01:30:46
CUST00030,Romero PLC,Wholesale,stanleynancy@anderson.org,(706)537-9473,West Tammy,New Mexico,25931,2023-12-28T21:51:54
CUST00031,"Valentine, Joyce and Murray",Wholesale,kimberly88@burch-montoya.org,(407)581-8141,West Shannon,North Carolina,19814,2024-08-01T05:58:27
CUST00032,Potts and Sons,Corporate,bwilkerson@brown-shaw.com,(153)051-5220x4727,Gilbertland,Alaska,34045,2022-09-12T02:02:18
CUST00033,Dunn Ltd,Wholesale,srodriguez@turner.com,(971)179-8089x32460,Johnchester,Idaho,87581,2021-08-04T01:29:40
CUST00034,"Villegas, Jones and Fox",Wholesale,myerstheodore@hughes.com,531-952-0585,Port Kimberly,New Jersey,91647,2024-12-06T19:31:33
CUST00035,"White, Taylor and Baldwin",Wholesale,mjohnson@moody.com,868-740-3450x5415,Prestonmouth,Missouri,44939,2022-06-14T11:45:24
CUST00036,Holt-Richardson,Retail,laurie61@morrison-short.net,511-544-7962x7570,Christinachester,Louisiana,84317,2021-05-08T06:34:59
