transaction_id,transaction_time,store_id,customer_id,product_id,brand_id,quantity,unit_price,discount,total_amount,payment_method,created_at
TXN0000001,2025-11-10T17:13:18.704764,STR037,CUST00888,SKU100044,BRD002,2,12316.64,0.1,24633.28,NetBanking,2025-11-11T06:27:21.709127
TXN0000002,2025-05-20T23:51:11.704764,STR025,CUST01400,SKU100128,BRD004,3,12980.59,0.0,38941.77,NetBanking,2025-11-11T06:27:21.709684
TXN0000003,2025-07-22T23:57:03.704764,STR014,CUST01861,SKU100045,BRD004,2,4252.31,0.0,8504.62,Card,2025-11-11T06:27:21.710144
TXN0000004,2025-07-08T14:40:21.704764,STR029,CUST01810,SKU100071,BRD003,4,10527.8,0.1,42111.2,Card,2025-11-11T06:27:21.710601
TXN0000005,2025-09-11T12:23:59.704764,STR040,CUST01264,SKU100009,BRD001,2,8294.55,0.1,16589.1,Card,2025-11-11T06:27:21.711062
TXN0000006,2025-07-11T13:44:44.704764,STR032,CUST00844,SKU100166,BRD003,4,11350.7,0.1,45402.8,Credit,2025-11-11T06:27:21.711488
TXN0000007,2025-05-27T02:38:20.704764,STR006,CUST00573,SKU100123,BRD005,3,4344.39,0.15,13033.17,NetBanking,2025-11-11T06:27:21.711898
TXN0000008,2025-08-04T16:13:54.704764,STR013,CUST01317,SKU100036,BRD004,4,12221.76,0.0,48887.04,Credit,2025-11-11T06:27:21.712367
TXN0000009,2025-09-14T17:59:03.704764,STR035,CUST01628,SKU100064,BRD002,3,4821.98,0.15,14465.94,Cash,2025-11-11T06:27:21.712767
TXN0000010,2025-10-14T02:26:50.704764,STR046,CUST00736,SKU100098,BRD004,4,6029.41,0.1,24117.64,NetBanking,2025-11-11T06:27:21.713198
TXN0000011,2025-10-14T00:12:26.704764,STR032,CUST00705,SKU100140,BRD005,5,12402.21,0.15,62011.05,Credit,2025-11-11T06:27:21.713584
TXN0000012,2025-07-16T17:14:27.704764,STR025,CUST00554,SKU100129,BRD003,5,510.69,0.15,2553.45,Card,2025-11-11T06:27:21.713983
TXN0000013,2025-07-16T04:31:58.704764,STR039,CUST00449,SKU100007,BRD001,2,1275.1,0.05,2550.2,Cash,2025-11-11T06:27:21.714369
TXN0000014,2025-07-08T19:41:49.704764,STR004,CUST01657,SKU100200,BRD004,2,11808.2,0.0,23616.4,NetBanking,2025-11-11T06:27:21.714797
TXN0000015,2025-07-23T16:12:49.704764,STR050,CUST01197,SKU100136,BRD003,2,5186.44,0.0,10372.88,Card,2025-11-11T06:27:21.715193
TXN0000016,2025-06-03T17:06:56.704764,STR016,CUST01346,SKU100041,BRD002,3,2156.07,0.05,6468.21,Card,2025-11-11T06:27:21.715570
TXN0000017,2025-08-26T21:37:46.704764,STR048,CUST00115,SKU100069,BRD005,2,1580.98,0.0,3161.96,Card,2025-11-11T06:27:21.715945
TXN0000018,2025-10-26T15:27:19.704764,STR025,CUST00727,SKU100148,BRD004,2,6620.52,0.15,13241.04,Card,2025-11-11T06:27:21.716317
TXN0000019,2025-06-30T04:51:50.704764,STR038,CUST00652,SKU100046,BRD001,2,10106.57,0.0,20213.14,UPI,2025-11-11T06:27:21.716698
TXN0000020,2025-05-20T17:54:28.704764,STR046,CUST01435,SKU100152,BRD002,6,3576.29,0.1,21457.74,UPI,2025-11-11T06:27:21.717077
TXN0000021,2025-09-01T17:03:08.704764,STR010,CUST01154,SKU100146,BRD003,2,1034.86,0.0,2069.72,Card,2025-11-11T06:27:21.717422
TXN0000022,2025-08-28T12:56:22.704764,STR020,CUST00360,SKU100127,BRD001,1,11743.15,0.05,11743.15,NetBanking,2025-11-11T06:27:21.717763
TXN0000023,2025-06-01T19:05:08.704764,STR004,CUST00477,SKU100010,BRD005,3,10767.05,0.0,32301.15,Credit,2025-11-11T06:27:21.718125
TXN0000024,2025-05-19T03:19:37.704764,STR034,CUST00979,SKU100057,BRD004,3,1693.98,0.05,5081.94,Cash,2025-11-11T06:27:21.718469
TXN0000025,2025-11-09T12:09:43.704764,STR040,CUST00413,SKU100085,BRD004,1,5009.24,0.0,5009.24,Card,2025-11-11T06:27:21.718821
TXN0000026,2025-10-01T11:37:38.704764,STR012,CUST01882,SKU100088,BRD001,4,8282.89,0.15,33131.56,UPI,2025-11-11T06:27:21.719171
TXN0000027,2025-05-19T12:34:38.704764,STR010,CUST01202,SKU100016,BRD001,2,3001.4,0.05,6002.8,Card,2025-11-11T06:27:21.719518
TXN0000028,2025-06-05T19:22:59.704764,STR034,CUST01763,SKU100199,BRD002,5,13362.75,0.0,66813.75,UPI,2025-11-11T06:27:21.719858
TXN0000029,2025-07-26T19:30:54.704764,STR046,CUST01930,SKU100019,BRD003,3,6763.2,0.0,20289.6,NetBanking,2025-11-11T06:27:21.720208
TXN0000030,2025-06-03T21:17:59.704764,STR022,CUST00619,SKU100151,BRD005,1,11619.38,0.15,11619.38,UPI,2025-11-11T06:27:21.720563
TXN0000031,2025-06-14T20:28:37.704764,STR047,CUST01943,SKU100035,BRD004,1,14501.66,0.0,14501.66,NetBanking,2025-11-11T06:27:21.720904
TXN0000032,2025-08-17T20:58:20.704764,STR042,CUST00650,SKU100164,BRD001,2,8268.73,0.0,16537.46,Card,2025-11-11T06:27:21.721286
TXN0000033,2025-09-01T09:27:35.704764,STR045,CUST01822,SKU100182,BRD004,2,2145.37,0.0,4290.74,Credit,2025-11-11T06:27:21.721660
TXN0000034,2025-06-27T14:48:59.704764,STR043,CUST01207,SKU100092,BRD005,4,9215.74,0.15,36862.96,Card,2025-11-11T06:27:21.722044
TXN0000035,2025-07-13T20:21:20.704764,STR047,CUST01411,SKU100097,BRD004,3,7675.65,0.05,23026.95,UPI,2025-11-11T06:27:21.722417
TXN0000036,2025-06-18T18:38:11.704764,STR047,CUST00004,SKU100033,BRD001,2,1298.92,0.1,2597.84,Credit,2025-11-11T06:27:21.722815
TXN0000037,2025-10-27T11:16:14.704764,STR050,CUST01977,SKU100101,BRD005,1,955.72,0.0,955.72,Credit,2025-11-11T06:27:21.723193
TXN0000038,2025-06-19T15:01:05.704764,STR039,CUST00652,SKU100009,BRD001,3,9216.17,0.0,27648.51,Credit,2025-11-11T06:27:21.723566
TXN0000039,2025-09-16T11:25:33.704764,STR037,CUST00214,SKU100057,BRD004,4,1515.67,0.15,6062.68,NetBanking,2025-11-11T06:27:21.723936
TXN0000040,2025-07-18T13:48:45.704764,STR048,CUST00160,SKU100037,BRD004,4,4916.9,0.0,19667.6,Card,2025-11-11T06:27:21.724307
TXN0000041,2025-07-16T07:31:14.704764,STR011,CUST01303,SKU100089,BRD004,5,13364.58,0.0,66822.9,Cash,2025-11-11T06:27:21.724678
TXN0000042,2025-09-22T08:59:47.704764,STR041,CUST01494,SKU100182,BRD004,1,2038.1,0.05,2038.1,UPI,2025-11-11T06:27:21.725045
TXN0000043,2025-05-17T11:33:47.704764,STR017,CUST00430,SKU100115,BRD004,4,8231.7,0.15,32926.8,Card,2025-11-11T06:27:21.725418
TXN0000044,2025-05-28T10:24:08.704764,STR023,CUST00526,SKU100178,BRD003,6,5191.51,0.15,31149.06,Cash,2025-11-11T06:27:21.725784
TXN0000045,2025-05-15T12:25:35.704764,STR004,CUST00791,SKU100185,BRD005,2,3604.13,0.15,7208.26,NetBanking,2025-11-11T06:27:21.726154
TXN0000046,2025-08-04T18:10:53.704764,STR011,CUST01812,SKU100188,BRD001,1,8122.89,0.05,8122.89,NetBanking,2025-11-11T06:27:21.726523
TXN0000047,2025-11-02T11:48:17.704764,STR025,CUST00720,SKU100127,BRD001,3,12361.21,0.0,37083.63,Credit,2025-11-11T06:27:21.726921
TXN0000048,2025-06-03T23:08:49.704764,STR031,CUST01616,SKU100097,BRD004,1,8079.63,0.0,8079.63,Credit,2025-11-11T06:27:21.727298
TXN0000049,2025-10-09T12:07:36.704764,STR044,CUST00462,SKU100167,BRD004,2,5151.31,0.0,10302.62,Card,2025-11-11T06:27:21.727663
TXN0000050,2025-05-29T13:57:59.704764,STR003,CUST00604,SKU100116,BRD003,6,13136.18,0.0,78817.08,Cash,2025-11-11T06:27:21.728035
TXN0000051,2025-07-04T23:23:56.704764,STR007,CUST00152,SKU100082,BRD005,4,8584.04,0.1,34336.16,UPI,2025-11-11T06:27:21.728439
TXN0000052,2025-11-03T16:30:55.704764,STR025,CUST00330,SKU100044,BRD002,3,11632.38,0.15,34897.14,Cash,2025-11-11T06:27:21.728823
TXN0000053,2025-11-05T16:01:04.704764,STR006,CUST00693,SKU100141,BRD005,3,13732.72,0.05,41198.16,Credit,2025-11-11T06:27:21.729189
TXN0000054,2025-11-04T17:11:29.704764,STR031,CUST01443,SKU100158,BRD002,1,11543.48,0.0,11543.48,Cash,2025-11-11T06:27:21.729563
TXN0000055,2025-09-19T04:36:59.704764,STR011,CUST01244,SKU100111,BRD005,3,3996.19,0.15,11988.57,NetBanking,2025-11-11T06:27:21.729928
TXN0000056,2025-05-25T16:02:37.704764,STR007,CUST00679,SKU100041,BRD002,3,2269.55,0.0,6808.65,Card,2025-11-11T06:27:21.730299
TXN0000057,2025-08-02T17:50:17.704764,STR045,CUST01135,SKU100049,BRD001,5,8427.3,0.0,42136.5,Credit,2025-11-11T06:27:21.730683
TXN0000058,2025-09-20T13:03:54.704764,STR019,CUST00610,SKU100068,BRD002,3,12131.86,0.0,36395.58,Card,2025-11-11T06:27:21.731083
TXN0000059,2025-05-24T21:46:25.704764,STR026,CUST01171,SKU100025,BRD002,2,6046.06,0.15,12092.12,Credit,2025-11-11T06:27:21.731459
TXN0000060,2025-06-14T02:14:12.704764,STR004,CUST00739,SKU100126,BRD005,3,6693.06,0.0,20079.18,Cash,2025-11-11T06:27:21.731832
TXN0000061,2025-06-01T06:50:00.704764,STR019,CUST01688,SKU100110,BRD004,3,1535.4,0.05,4606.2,Credit,2025-11-11T06:27:21.732200
TXN0000062,2025-06-23T01:00:28.704764,STR007,CUST00053,SKU100123,BRD005,3,4599.95,0.1,13799.85,Card,2025-11-11T06:27:21.732571
TXN0000063,2025-09-16T04:38:23.704764,STR019,CUST00168,SKU100044,BRD002,6,13685.15,0.0,82110.9,NetBanking,2025-11-11T06:27:21.732934
TXN0000064,2025-07-14T03:29:12.704764,STR026,CUST00965,SKU100030,BRD003,3,997.5,0.15,2992.5,NetBanking,2025-11-11T06:27:21.733301
TXN0000065,2025-07-05T17:27:57.704764,STR006,CUST01315,SKU100170,BRD005,3,8161.16,0.1,24483.48,Credit,2025-11-11T06:27:21.733675
TXN0000066,2025-06-20T04:03:53.704764,STR024,CUST01814,SKU100100,BRD003,3,1857.99,0.1,5573.97,NetBanking,2025-11-11T06:27:21.734038
TXN0000067,2025-06-20T11:59:43.704764,STR029,CUST00092,SKU100095,BRD003,2,9927.17,0.15,19854.34,UPI,2025-11-11T06:27:21.734375
TXN0000068,2025-08-13T13:46:58.704764,STR017,CUST00464,SKU100113,BRD004,3,13281.59,0.05,39844.77,UPI,2025-11-11T06:27:21.734700
TXN0000069,2025-05-27T05:42:58.704764,STR010,CUST01541,SKU100145,BRD003,1,4398.68,0.05,4398.68,Cash,2025-11-11T06:27:21.735058
TXN0000070,2025-09-22T00:13:09.704764,STR023,CUST01656,SKU100022,BRD002,2,2522.66,0.0,5045.32,Credit,2025-11-11T06:27:21.735383
TXN0000071,2025-10-09T03:48:01.704764,STR038,CUST00466,SKU100106,BRD004,6,4114.74,0.0,24688.44,Credit,2025-11-11T06:27:21.735704
TXN0000072,2025-10-25T12:51:16.704764,STR025,CUST01677,SKU100016,BRD001,2,3159.37,0.0,6318.74,Credit,2025-11-11T06:27:21.736026
TXN0000073,2025-08-27T06:08:01.704764,STR044,CUST01776,SKU100108,BRD001,3,9737.17,0.15,29211.51,NetBanking,2025-11-11T06:27:21.736360
TXN0000074,2025-11-02T11:15:38.704764,STR016,CUST00976,SKU100147,BRD004,1,7937.88,0.15,7937.88,UPI,2025-11-11T06:27:21.736692
TXN0000075,2025-07-30T22:22:39.704764,STR046,CUST00072,SKU100021,BRD004,1,7966.09,0.15,7966.09,Credit,2025-11-11T06:27:21.737038
TXN0000076,2025-11-06T02:52:50.704764,STR034,CUST01640,SKU100147,BRD004,2,8871.75,0.05,17743.5,Credit,2025-11-11T06:27:21.737374
TXN0000077,2025-09-12T17:08:17.704764,STR010,CUST00247,SKU100174,BRD002,2,3784.19,0.0,7568.38,NetBanking,2025-11-11T06:27:21.737712
TXN0000078,2025-06-16T17:30:00.704764,STR014,CUST01656,SKU100045,BRD004,2,4252.31,0.0,8504.62,Card,2025-11-11T06:27:21.738083
TXN0000079,2025-05-23T13:20:23.704764,STR028,CUST00161,SKU100033,BRD001,4,1298.92,0.1,5195.68,NetBanking,2025-11-11T06:27:21.738456
TXN0000080,2025-10-21T23:52:55.704764,STR041,CUST00303,SKU100052,BRD001,2,10565.49,0.1,21130.98,Credit,2025-11-11T06:27:21.738846
TXN0000081,2025-07-16T08:35:47.704764,STR047,CUST01873,SKU100067,BRD005,1,2161.89,0.15,2161.89,Cash,2025-11-11T06:27:21.739222
TXN0000082,2025-07-29T15:07:44.704764,STR036,CUST00814,SKU100023,BRD005,2,4736.1,0.0,9472.2,Credit,2025-11-11T06:27:21.739589
TXN0000083,2025-10-28T14:36:49.704764,STR018,CUST01065,SKU100084,BRD004,2,1279.44,0.1,2558.88,NetBanking,2025-11-11T06:27:21.739956
TXN0000084,2025-10-15T00:02:50.704764,STR045,CUST01277,SKU100004,BRD002,1,9180.55,0.0,9180.55,Credit,2025-11-11T06:27:21.740350
TXN0000085,2025-10-14T01:22:30.704764,STR027,CUST00231,SKU100134,BRD002,2,5395.42,0.0,10790.84,NetBanking,2025-11-11T06:27:21.740760
TXN0000086,2025-06-13T01:07:00.704764,STR037,CUST01205,SKU100039,BRD004,2,8858.17,0.15,17716.34,Credit,2025-11-11T06:27:21.741149
TXN0000087,2025-06-03T17:26:25.704764,STR007,CUST01153,SKU100195,BRD001,2,5145.13,0.05,10290.26,Cash,2025-11-11T06:27:21.741527
TXN0000088,2025-10-30T17:11:00.704764,STR035,CUST01803,SKU100074,BRD005,7,10475.56,0.15,73328.92,UPI,2025-11-11T06:27:21.741889
TXN0000089,2025-07-05T13:25:18.704764,STR025,CUST01342,SKU100106,BRD004,2,4114.74,0.0,8229.48,NetBanking,2025-11-11T06:27:21.742399
TXN0000090,2025-09-10T12:25:30.704764,STR031,CUST00077,SKU100147,BRD004,4,9338.68,0.0,37354.72,Card,2025-11-11T06:27:21.742819
TXN0000091,2025-08-01T12:27:02.704764,STR010,CUST01267,SKU100071,BRD003,5,11697.55,0.0,58487.75,Credit,2025-11-11T06:27:21.743201
TXN0000092,2025-09-26T23:09:05.704764,STR026,CUST00080,SKU100175,BRD002,1,8869.51,0.1,8869.51,NetBanking,2025-11-11T06:27:21.743565
TXN0000093,2025-09-26T08:28:59.704764,STR016,CUST00101,SKU100085,BRD004,8,5009.24,0.0,40073.92,NetBanking,2025-11-11T06:27:21.743931
TXN0000094,2025-11-05T10:55:29.704764,STR024,CUST00042,SKU100069,BRD005,1,1501.93,0.05,1501.93,UPI,2025-11-11T06:27:21.744302
TXN0000095,2025-07-14T15:35:04.704764,STR018,CUST01727,SKU100078,BRD001,2,1573.65,0.0,3147.3,NetBanking,2025-11-11T06:27:21.744674
TXN0000096,2025-09-25T06:05:51.704764,STR007,CUST01992,SKU100179,BRD002,4,14082.58,0.0,56330.32,Card,2025-11-11T06:27:21.745044
TXN0000097,2025-07-12T14:47:46.704764,STR048,CUST00908,SKU100035,BRD004,4,14501.66,0.0,58006.64,UPI,2025-11-11T06:27:21.745409
TXN0000098,2025-10-03T18:54:26.704764,STR027,CUST01239,SKU100069,BRD005,4,1343.83,0.15,5375.32,Cash,2025-11-11T06:27:21.745778
TXN0000099,2025-08-09T01:00:15.704764,STR014,CUST01871,SKU100049,BRD001,3,7584.57,0.1,22753.71,NetBanking,2025-11-11T06:27:21.746142
TXN0000100,2025-08-17T08:12:16.704764,STR049,CUST01058,SKU100190,BRD004,5,4006.86,0.0,20034.3,UPI,2025-11-11T06:27:21.746506
TXN0000101,2025-08-23T07:47:12.704764,STR011,CUST00135,SKU100015,BRD002,4,3136.46,0.0,12545.84,UPI,2025-11-11T06:27:21.746897
TXN0000102,2025-08-21T16:17:34.704764,STR026,CUST00278,SKU100182,BRD004,3,2145.37,0.0,6436.11,Credit,2025-11-11T06:27:21.747278
TXN0000103,2025-05-20T21:21:50.704764,STR012,CUST00395,SKU100146,BRD003,2,879.63,0.15,1759.26,Card,2025-11-11T06:27:21.747671
TXN0000104,2025-07-02T17:09:53.704764,STR003,CUST00935,SKU100015,BRD002,4,2979.64,0.05,11918.56,Cash,2025-11-11T06:27:21.748036
TXN0000105,2025-09-29T02:17:16.704764,STR013,CUST00562,SKU100093,BRD003,1,11531.38,0.0,11531.38,UPI,2025-11-11T06:27:21.748402
TXN0000106,2025-08-21T08:30:55.704764,STR026,CUST01302,SKU100119,BRD005,3,12097.9,0.1,36293.7,Cash,2025-11-11T06:27:21.748767
TXN0000107,2025-05-21T04:53:26.704764,STR016,CUST00763,SKU100175,BRD002,2,9362.26,0.05,18724.52,NetBanking,2025-11-11T06:27:21.749132
TXN0000108,2025-08-09T21:26:54.704764,STR012,CUST01968,SKU100153,BRD004,5,2210.83,0.15,11054.15,NetBanking,2025-11-11T06:27:21.749495
TXN0000109,2025-08-30T07:51:25.704764,STR023,CUST00706,SKU100151,BRD005,2,11619.38,0.15,23238.76,Card,2025-11-11T06:27:21.749856
TXN0000110,2025-10-07T16:52:03.704764,STR045,CUST00186,SKU100067,BRD005,1,2543.4,0.0,2543.4,UPI,2025-11-11T06:27:21.750222
TXN0000111,2025-07-29T07:58:56.704764,STR004,CUST00334,SKU100008,BRD003,4,13059.55,0.0,52238.2,Credit,2025-11-11T06:27:21.750599
TXN0000112,2025-06-25T21:15:10.704764,STR015,CUST01326,SKU100200,BRD004,2,11808.2,0.0,23616.4,Card,2025-11-11T06:27:21.750996
TXN0000113,2025-06-24T09:53:31.704764,STR018,CUST01335,SKU100174,BRD002,4,3216.56,0.15,12866.24,NetBanking,2025-11-11T06:27:21.751331
TXN0000114,2025-05-19T03:54:23.704764,STR050,CUST01981,SKU100132,BRD003,1,3348.5,0.1,3348.5,Cash,2025-11-11T06:27:21.751654
TXN0000115,2025-11-08T06:25:32.704764,STR009,CUST01326,SKU100122,BRD003,3,13493.32,0.0,40479.96,Card,2025-11-11T06:27:21.751983
TXN0000116,2025-10-17T18:45:22.704764,STR001,CUST00459,SKU100154,BRD003,4,7217.22,0.05,28868.88,UPI,2025-11-11T06:27:21.752315
TXN0000117,2025-10-18T14:25:35.704764,STR020,CUST01460,SKU100156,BRD003,4,3608.82,0.1,14435.28,UPI,2025-11-11T06:27:21.752637
TXN0000118,2025-11-05T03:42:32.704764,STR025,CUST01745,SKU100109,BRD004,1,3817.57,0.0,3817.57,UPI,2025-11-11T06:27:21.752970
TXN0000119,2025-07-03T04:51:17.704764,STR014,CUST00956,SKU100118,BRD002,3,2724.48,0.15,8173.44,UPI,2025-11-11T06:27:21.753302
TXN0000120,2025-08-24T08:48:15.704764,STR040,CUST00814,SKU100174,BRD002,2,3784.19,0.0,7568.38,Credit,2025-11-11T06:27:21.753635
TXN0000121,2025-05-16T16:41:52.704764,STR033,CUST01357,SKU100027,BRD005,2,3055.74,0.1,6111.48,UPI,2025-11-11T06:27:21.753980
TXN0000122,2025-09-17T23:17:19.704764,STR039,CUST01248,SKU100144,BRD002,2,4862.74,0.0,9725.48,UPI,2025-11-11T06:27:21.754310
TXN0000123,2025-09-25T04:03:08.704764,STR007,CUST00987,SKU100077,BRD005,4,11683.42,0.0,46733.68,Cash,2025-11-11T06:27:21.754643
TXN0000124,2025-07-07T22:57:40.704764,STR041,CUST00666,SKU100087,BRD001,4,9417.4,0.15,37669.6,UPI,2025-11-11T06:27:21.755039
TXN0000125,2025-09-19T16:11:41.704764,STR046,CUST01951,SKU100067,BRD005,3,2416.23,0.05,7248.69,UPI,2025-11-11T06:27:21.755412
TXN0000126,2025-06-13T09:10:37.704764,STR034,CUST01568,SKU100049,BRD001,4,7584.57,0.1,30338.28,Card,2025-11-11T06:27:21.755778
TXN0000127,2025-10-18T16:01:51.704764,STR039,CUST00828,SKU100015,BRD002,2,3136.46,0.0,6272.92,UPI,2025-11-11T06:27:21.756152
